user_prompt,output,유형,극성,시제,확실성
대본에 그려진 인물의 내면 연기를 해줄 수 있어야 했기 때문이다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
그래서 노비에 대한 양반들의 집착은 대단했다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
그런데 일부러 꼬리를 자른다는 사실을 알고는 적잖이 충격받았다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
"일본의 전력 부족은 화력발전소 가동 중단과 원전 재가동 부진, 지난 3월 후쿠시마현 앞바다 지진 여파 등이 복합적으로 영향을 미친 결과다.","추론형,긍정,과거,확실",추론형,긍정,과거,확실
1점 차로 초박빙 승부를 펼친 소리꾼 전영랑과 트로트 요정 강유진은 민요와 트로트의 경쟁으로 무대를 다채롭게 했다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
그림만이 삶의 증거였다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
마스크 속 정확한 표정은 읽을 수 없었지만 눈빛에서 느껴지는 전체적인 분위기는 무겁고 굳어 보였다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
그는 임금에 대한 충성이 여러 신하 중에서도 각별했다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
정년을 연장하는 것과 임금을 깎는 것이 교환 관계에 있다고 본 것이다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
대학 교수로 성장한 젊은 지식인들은 유능할지 모르나 공공의 삶을 살찌우지는 않았다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
매우 강력한 개방을 요구했지만 그의 이런 주장이 받아들여지기는커녕 조선은 더 강력한 쇄국을 향해 내달렸다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
"절의를 앞세운 영남 사림들(김종직, 김굉필, 김일손 등 길재의 제자)은 성종의 특별한 총애로 대거 중앙 정치 무대로 진출하지만, 연산군 4년(1498) 유자광, 이극돈 등의 훈구파가 일으킨 무오사화로 참혹한 화를 면치 못한다.","추론형,긍정,과거,확실",추론형,긍정,과거,확실
서포 김만중의 《서포만필》은 그에 대해 중국 고승들의 설법을 대충 본떠 시늉만 냈다고 혹평했다,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
4년 전 손목 부상과 슬럼프에 빠졌던 위기를 넘기고 누구도 예상하지 못한 금메달을 목에 걸었던 박인비는 이번에도 정말 독한 마음을 품었다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
세계가 너무도 위험해졌다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
홍국영의 권세는 실로 막강했다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
예술 작품을 인간적으로 대하며 깊이 탐구하는 이탈리아의 복원 방식에도 매료됐다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
"＂지금 현대사회에서도 끔찍하거나 이해할 수 없는 사건들이 있는데 개인의 문제로만 돌릴 수 있을지, 사회는 자유로워질 수 있을지 그런 지점에 대해 영화로 만들어보고 싶었다.＂","추론형,긍정,과거,확실",추론형,긍정,과거,확실
이번 행사에서 이 같은 솔루션으로 화웨이가 아태 시장에서 확보한 막대한 영향력을 체감할 수 있었다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
"아이돌 팬덤의 관심이 가장 큰 지상파 방송 3사(KBS, SBS, MBC) 연말 가요 축제는 ＇반쪽짜리＇로 전락했다.","추론형,긍정,과거,확실",추론형,긍정,과거,확실
한국시니어연구소는 지난해 시리즈A 투자 110억원을 성공적으로 유치하면서 시장의 기대를 한 몸에 받았다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
퇴계 이황은 학문에서도 따라올 자가 없었지만 인품도 뛰어나 당파를 가리지 않고 수많은 학자들의 존경을 받았다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
시청자들에게는 시민들이 직접 출연을 하기 때문에 여러 이야기에 대한 공감을 느끼고 희로애락을 함께 즐겼던 프로그램이다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
금융사 판매수수료만 날아간 게 아니라 금리의 두 배를 벌 수 있는 소비자 선택권도 사라졌다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
B군의 머리카락이 비교적 짧았지만 마른 체형인데다 여장을 한 상황에서 성별을 구별하기 쉽지 않았다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
"율곡, 우계와 깊이 교유해 사람들은 세 사람이 용모는 달라도 마음은 하나라고 칭송했다.","추론형,긍정,과거,확실",추론형,긍정,과거,확실
취임 직후 세계적 흐름인 ESG 경영에 ＇안전(Safety)＇을 추가한 ESSG 경영을 선언했는데 직전 배경과 무관치 않은 대목이다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
그러나 안전운임제 적용 품목 확대를 논의하기로 한 점에 대해선 우려의 목소리를 냈다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
이번 지방선거는 정권교체가 이뤄진 지 석 달 만에 치렀을 뿐 아니라 오세훈 서울시장이 송영길 민주당 후보를 20%포인트 가까이 앞서는 등 민주당에 불리한 지형에서 치러졌다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
"반반족발세트가 일회용 플라스틱 용기에 담겨 편의점 도시락과 유사하고 고기, 마늘, 쌈장, 채소 등이 들어있기 때문이다.","추론형,긍정,과거,확실",추론형,긍정,과거,확실
"박홍근 민주당 원내대표는 이날 국회에서 열린 정책조정회의에서 법인세 인하에 대해 ＇흘러간 유행가＇라며 ＂물가 폭등, 주가 폭락, 금리 인상으로 국민 일상이 직격탄을 맞은 만큼 대기업 지키기보다 민생의 급한 불부터 꺼야 한다＂고 비판했다.","추론형,긍정,과거,확실",추론형,긍정,과거,확실
조선인은 중국인이나 일본인보다 더 크고 건장하며 활달한 인상을 갖고 있다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
"A씨는 B씨를 향해 ＂야 이 XXX아, 니가 나를 언제 봤다고 나한테 반말이야? 완전히 돌았구나＂라며 ＂아저씨한테 욕하고 자빠졌고, 아이고야. 이런 가시나들은 다 죽이야 되는데＂라며 폭언했다.","추론형,긍정,과거,확실",추론형,긍정,과거,확실
"미황사를 복원하듯, 달마고도를 이어주듯, 도솔암 흙 기와를 올리듯, 천천히 꼭꼭 씹으며 해남의 손맛을 음미했다.","추론형,긍정,과거,확실",추론형,긍정,과거,확실
《패관잡기》를 쓴 조선 중기 학자 어숙권의 평가도 마찬가지다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
한국영화아카데미 졸업작품 ＇지리멸렬＇(1994)에서부터 사회 병폐를 유머러스하게 꼬집는 블랙코미디로 주목 받았다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
동료 판사들이 ＂다른 국가기관의 통치에 참여하는 삼권분업을 시도하는 것만으로 월권＂이라고 이들을 질타한 것도 사법부 독립과 재판의 공정성이 훼손될 것을 우려했기 때문이다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
"다른 마스크 업체가 단가에도 못 미치는 저가 공세를 이어가며 죄다 나자빠지는 상황에서도, 씨앤투스성진 영업이익은 오히려 훨훨 날았다.","추론형,긍정,과거,확실",추론형,긍정,과거,확실
트럭 운전사가 주차된 화물차들 사이로 힘겹게 트럭을 몰면서 길목이 잠시 정체된 까닭이다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
수레가 없다 보니 자급자족 경제를 벗어나기 어려웠다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
확진자가 연일 세 자릿수로 급증하자 23일에야 심각 단계로 올린 건 ＇뒷북 대응＇이라 할 만하다.,"추론형,긍정,과거,확실",추론형,긍정,과거,확실
