user_prompt,유형,극성,시제,확실성
구글도 1090억달러(2018년 말)에서 1197억달러(2019년 말)로 현금을 높여 놨습니다.,대화형,긍정,과거,확실
제 눈에는 실리콘밸리 IT 기업들은 위기가 왔을 때 이를 기회로 바꾸기 위해 준비를 하고 있는 것 같아 보입니다.,대화형,긍정,현재,확실
＂그런데 이번엔 계획할 수 없는 너무 큰 이벤트를 맞이하게 돼서 행복해요.＂,대화형,긍정,현재,확실
＇위기는 곧 기회＇라는 격언은 이제 너무나 보편화되어서 모르는 사람이 없을 정도입니다.,대화형,긍정,현재,확실
＂저는 봉준호의 진화를 20년 동안 봐왔어요.＂,대화형,긍정,현재,확실
"임팩트에 대한 중요성도 강조했는데요, 임팩트 구간에서 양팔을 쭉 펴주는 느낌으로 스윙하면 프로 골퍼처럼 멋지게 디봇이 만들어질 것이라고 설명했습니다.",대화형,긍정,과거,확실
우선 더러움의 대명사는 정말이지 오해입니다.,대화형,긍정,현재,확실
＂몽가타는 피로 속에 잠 못 드는 사람을 위한 수면 솔루션을 제공하는 스타트업입니다.＂,대화형,긍정,현재,확실
＂판타지를 접목한 장르도 신선했고 무엇보다 안 해본 역할에 대한 반가움이 가장 컸죠.＂,대화형,긍정,과거,확실
좋은 스윙을 하기 위한 기본입니다.,대화형,긍정,현재,확실
2020년 2월 3일 오전 8시 기준입니다.,대화형,긍정,현재,확실
＂이거 아무 국가나 할 수 있는 거 아닙니다.＂,대화형,부정,현재,확실
비법은 이번에도 오른 팔꿈치입니다.,대화형,긍정,현재,확실
"첫째, 불필요한 마이너스통장부터 정리하자.",대화형,긍정,미래,확실
＂연간 대출 자금 28억원 중 아직 24억원이 남았습니다.＂,대화형,긍정,현재,확실
총이 없었던 시대에는 총을 소유한 이들이 전쟁에서 압도적 우위를 차지할 수 있었습니다.,대화형,긍정,과거,확실
먼저 이 씨의 사례로 살펴보자.,대화형,긍정,현재,확실
대부분 프로젝트가 탄생했던 2017년과 2018년을 돌이켜보면 이해할 수 있습니다.,대화형,긍정,과거,확실
＂스님들은 어디 가세요?＂,대화형,긍정,현재,확실
그런데도 대출 자금이 이렇게 많이 남았다니!,대화형,긍정,현재,확실
＂노인일자리 비판은 60만명이 넘는 빈곤노인을 그냥 방치하자는 것이냐.＂,대화형,긍정,현재,불확실
＂새로 개발된 코로나19 검사법은?＂,대화형,미정,현재,불확실
아직까지는 시장 분위기가 상당히 좋기에 단기 조정을 매수 기회로 삼을 수 있으며 투자 시에는 메이저 알트코인 위주로 접근하시는 것을 권장 드립니다,대화형,긍정,현재,확실
＂소비자들이 깨끗하고 안전한 삶을 즐길 수 있는 제품을 만드는 ＇라이프케어 솔루션 기업＇이 되는 것이 목표입니다.＂,대화형,긍정,현재,확실
선거철에 정당과 정치인들이 움직이는 것처럼 평소에도 유권자의 마음을 얻기 위해 움직이면 얼마나 좋을까.,대화형,긍정,현재,확실
이러한 선거제도는 정당 득표율과 의석수가 비례하지 않고 사표(死票)가 발생하는 등 민심을 제대로 반영하지 못한다는 지적이 나왔습니다.,대화형,긍정,과거,불확실
그래도 막상 그곳을 떠올린다면 다르지 않을까.,대화형,미정,현재,불확실
덕분에 쾌적한 환경을 원하는사람들에게 인기가 많죠.,대화형,긍정,현재,확실
DB형은 디폴트 옵션과 전혀 상관이 없습니다.,대화형,부정,현재,확실
그렇다면 소수 정당들이 난립할 우려도 있는데요.,대화형,긍정,현재,확실
반대로 지역구 당선 의원에 비해 전국적 지지율이 높은 정의당은 새 제도가 도입되면 의석수가 더 늘어날 것으로 예상됩니다.,대화형,긍정,미래,불확실
＂좀 주워다 줄래.＂,대화형,긍정,현재,확실
네덜란드에 위치한 한 기업을 직접 찾아가서 만나기 위함인데요. ,대화형,긍정,미래,확실
이런 제도를 왜 만들었나요.,대화형,긍정,현재,확실
＂1인치 정도 되는 장벽을 뛰어넘으면 여러분은 훨씬 더 많은 영화를 즐길 수 있습니다.＂,대화형,긍정,미래,확실
꽃구경이 그립다고요 그래서 서비스로 신구대식물원에 환하게 피어난 꽃 사진을 한 컷 끼워놨습니다.,대화형,긍정,과거,확실
2020년 새해 벽두 불쑥 제(화장실) 얘기부터 꺼내 죄송스럽긴 합니다.,대화형,긍정,현재,확실
그들은 왜 그렇게 국적을 지키고 싶었을까.,대화형,긍정,과거,불확실
"1명 or 1개 모회사가 지분 100% 보유한 곳은 절반 이상69개 중 36개 프로젝트(전체의 52%)는 1명, 혹은 1개 모회사가 지분 전체를 갖고 있었습니다.",대화형,긍정,과거,확실
과연 공주와 단종의 유복자는 관노의 삶을 살았을까.,대화형,미정,과거,불확실
＂영화에 대해 주저하지 않고 말씀해주신 한국 관객 덕분에 이 자리에 설 수 있었다.＂,대화형,긍정,과거,확실
오랫동안 ＇메아리 없는 외침＇이라 여겨졌던 그 퇴직연금 개혁이 드디어 첫걸음을 뗍니다.,대화형,긍정,현재,확실
또 어찌 부인이 마땅히 할 일이 아니라 하여 책망할 것인가.,대화형,부정,과거,불확실
한국인 경제력의 25분의 1에 불과한 북한 주민이 정말 인구절벽에 선 대한민국의 마지막 희망인 것일까.,대화형,미정,미래,불확실
＇화장발(예술성)＇로 대박난 곳도 있습니다.,대화형,긍정,현재,확실
문 대통령이 사전에도 없는 애매한 ＇고용 연장＇을 꺼내 말하고 싶었던 것은 이게 아니었을까.,대화형,긍정,과거,불확실
지난해 페어웨이 적중률 77.83%에 그린 적중률은 75.457%로 12위에 올랐습니다.,대화형,긍정,과거,확실
비슷한 시기 지구상엔 인류의 조상인 호모 사피엔스가 처음 등장했습니다.,대화형,긍정,과거,확실
요즘 인기 있는 여행지들의 공통적인 특징인 ＇인생샷＇에 대한 그의 철학과 혜안이 오늘의 남이섬을 있게 하지 않았을까.,대화형,긍정,현재,불확실
"3만년 전, 상상하기도 힘들 만큼 오래전 이야기죠.",대화형,긍정,과거,확실
그렇다면 이런 도전이 한국에서는 왜 안 될까?,대화형,부정,현재,확실
공짜로 돈을 나눠주겠다는 데 반대할 도민이 과연 있을까.,대화형,미정,현재,불확실
미 부사장은 하이 NA EUV를 이용한 반도체 양산 시기는 밝히지 않았습니다.,대화형,부정,과거,확실
＇국보 1호＇ 숭례문 현판은 과연 누가 썼을까?,대화형,미정,과거,불확실
＂큰 개는 마당에서 키워야 애들도 행복하죠.＂,대화형,긍정,현재,확실
이번 호도 코로나19 밥상이 푸짐합니다.,대화형,긍정,현재,확실
지난 시즌 미국프로골프(PGA) 투어에서 우승 없이 가장 꾸준한 활약을 펼치며 신인상을 차지한 임성재(22·CJ대한통운)는 올 시즌에는 더욱 뜨거운 샷 감각을 선보이며 드디어 꿈에 그리던 우승까지 차지했습니다.,대화형,긍정,과거,확실
"최근 50년 동안 평균 기온이 약 3도 올랐고, 최근엔 남극 기온이 사상 최고인 영상 20도를 기록했습니다.",대화형,긍정,과거,확실
문재인 대통령과 더불어민주당은 남은 집권 기간에 연립정부를 구성하길 바란다.,대화형,긍정,현재,확실
＂큰 나무 그늘에서 근심 없이 거닐고 그 아래 편안하게 누우면 되지 않는가＂,대화형,부정,현재,확실
국가의 미래가 좌우될 만큼 중요한 자리에 자신이 나서서 일하겠다고 나선 사람들은 누구일까.,대화형,미정,현재,불확실
전일 상승 폭 상위 코인에는 최근 보이지 않던 마이너 알트코인들이 이름을 올렸습니다.,대화형,긍정,과거,확실
"디지털 정보화 사회를 맞이한 지금, 리더가 되는 6가지 두뇌활용습관을 뇌교육 관점에서 정리해보자.",대화형,긍정,현재,확실
두 사람의 공기 작업은 어떻게 시작됐을까.,대화형,긍정,과거,불확실
우리나라 전이성 유방암 환자들의 건강하고 밝은 미소를 응원한다.,대화형,긍정,현재,확실
"＂아니다. 그냥, 헌 공을 쓰도록 하라.＂",대화형,긍정,현재,확실
드디어 ＇한국판 양적완화＇가 시작됐습니다.,대화형,긍정,과거,확실
훅을 인수해서 OTT 사업 역량을 내재화한 덕분에 쿠팡플레이를 선보이고 단기간에 ＇국산 OTT 톱3＇ 반열에 오를 수 있었다고.,대화형,긍정,과거,확실
국내 유통공룡들은 어떤 생존 전략을 준비하고 있나.,대화형,미정,현재,불확실
왜 이런 일이 일어난 것일까.,대화형,긍정,현재,확실
외국 탄광회사 사람들과 하와이 미국인 농장주의 증언을 들어보라.,대화형,긍정,현재,확실
다만 전체 주식 수는 1개부터 총 200만개까지 다양했습니다.,대화형,긍정,과거,확실
＂5G와 인공지능(AI)의 진화가 가져올 미래는 어떤 모습일까.＂,대화형,미정,미래,불확실
세종시 아파트가 들썩거리는 이유는 무엇일까.,대화형,미정,현재,불확실
"＂조금 다르게 살아보니, 생각보다 행복합니다.＂",대화형,긍정,현재,확실
패스트푸드 시장은 앞으로 어떻게 될까.,대화형,미정,미래,불확실
연구팀은 이번 연구를 통해 빙하 속 동결 보존된 바이러스를 손상 없이 온전히 꺼낼 수 있는 방법을 확인할 수 있었다고 밝혔습니다.,대화형,긍정,과거,확실
그동안 나에 대한 오해만큼은 기어이 풀고 가고 싶다.,대화형,긍정,현재,확실
그렇다면 차천로는 과연 어떤 비석을 두고 이런 말을 했던 걸까.,대화형,미정,과거,확실
＂산업계는 지금 전쟁 상황이나 다름없습니다.＂,대화형,긍정,현재,확실
아마추어 골퍼들이 몸통 스윙을 쉽게 익힐 수 있는 자신만의 비법도 공개했습니다.,대화형,긍정,과거,확실
비상 중독에는 살아 있는 양을 찔러 나온 피를 복용하라.,대화형,긍정,현재,확실
삼성전자는 EUV 확보에 전력을 다하겠다는 각오입니다.,대화형,긍정,현재,확실
웨지의 그루브가 한 달이면 닳아 없어질 정도로 많은 시간을 투자했다죠.,대화형,긍정,과거,불확실
비트코인이 알트코인 대비 상대적으로 강세를 보이고 있다는 것을 의미합니다.,대화형,긍정,현재,확실
＇상사 뒷담화＇나 ＇회사 기밀 내용＇이 녹음·녹화되는 일은 없을까.,대화형,긍정,현재,불확실
이런 의석수 전망 때문에 한국당이 새 선거법 도입을 반대했고 국회 본회의에서 강행 처리되자 헌법소원도 청구했습니다.,대화형,긍정,과거,확실
"자외선, 산소, 고온인 환경은 바이러스의 생존에 치명적입니다.",대화형,긍정,현재,확실
＂그러나 지금은 모든 것이 좋고 행복합니다.＂,대화형,긍정,현재,확실
총 의석수는 정당 득표율로 정해지고 지역구에서 얻은 의석수가 전국 정당 득표율에 미치지 못하면 비례대표 의석을 통해 총 의석을 보장하는 방식입니다.,대화형,긍정,현재,확실
"시장은 강하지만 비트코인이 1,100만원을 돌파하고 2차 상승을 할지 여부가 확실하지 않기 때문에 알트코인 간 순환매매가 돌고 있는 모습입니다.",대화형,긍정,현재,확실
만약 A정당이 10%의 전국 득표를 했을 때 통계적으로는 전체 300석 중 30석을 가져가야 합니다.,대화형,긍정,현재,확실
"이소영은 일단 백스윙 톱과 다운스윙, 그리고 임팩트 구간에서 종합적으로 체크 포인트를 갖고 있습니다.",대화형,긍정,현재,확실
그렇다면 조선 최고의 명문가는 어딜까.,대화형,미정,현재,불확실
애국심과 자유주의적 가치로 무장한 평범한 시민만큼 지금 한국당에 절실한 인재가 있나?,대화형,긍정,현재,확실
그런데 현실은 어떨까?,대화형,미정,현재,불확실
이는 주주 구성 분석 가능한 프로젝트의 13%에 해당합니다.,대화형,긍정,현재,확실
평생에 이보다 좋은 일이 더 있겠는가.,대화형,긍정,미래,확실
실제로 정당 지지율에 비해 지역구 의원 수가 많은 한국당은 연동형 비례대표제가 시행되면 의석수가 줄어들 가능성이 큽니다.,대화형,긍정,현재,확실
순환매매 장세이기에 최근 메이저 알트코인으로 큰 수익을 보신 분들은 어느정도 수익실현 후 이제 올라갈 코인들에 다시 투자해 보시는 것도 좋습니다.,대화형,긍정,현재,확실
특히 ＇자유무역질서＇를 내세우면서 자신보다 약한 국가는 언제든 경제 보복으로 짓밟을 수 있다고 생각하는 중국 측 인식이 이번에는 확실히 바뀌길 바란다.,대화형,긍정,현재,확실
"안용복, 생몰미상이 없었다면 오늘날 우리가 과연 독도의 소유권을 주장할 수 있었을까.",대화형,긍정,현재,불확실
