user_prompt,output,유형,극성,시제,확실성
"봉사활동은 특기사항 없이 실적만 기재할 수 있고, 소논문 활동은 학생부 모든 항목에서 아예 기재할 수 없다.","사실형,부정,미래,확실",사실형,부정,미래,확실
"다만, 19일 오후 5시 VIP 관람은 진행하되, 인파가 몰리는 공식 개막 행사는 취소하기로 했다.","사실형,부정,미래,확실",사실형,부정,미래,확실
"특히 청와대나 정부 고위급에서 ＇공급은 충분하다＇고 말하면 실무진에선 공급을 늘릴 명분도, 그럴 필요도 없어진다.","사실형,부정,미래,확실",사실형,부정,미래,확실
한 장수의 운명 과정을 이처럼 상세히 기술한 부분은 다른 기록 어디에서도 찾을 수 없다.,"사실형,부정,미래,확실",사실형,부정,미래,확실
"하지만 모든 부품, 소재를 한국에서 만들 수는 없다.","사실형,부정,미래,확실",사실형,부정,미래,확실
"감기로 오인하기 쉬운데 감기는 일주일 정도면 증상이 호전되는 반면 수주에서 수개월까지도 증상이 계속되면서 발열, 인후통이 없다.","사실형,부정,미래,확실",사실형,부정,미래,확실
장애인 주차구역에 있던 차가 장애인 탑승 없이 다른 곳으로 이동할 때도 단속할 수 없다.,"사실형,부정,미래,확실",사실형,부정,미래,확실
"기존 제품은 방사성 위험 물질인 세슘137(Cs-137)을 방사선 매개체로 사용하는 감마선 방식으로, 의료용 목적 외에 미사용 시에도 방사선 발생을 제어할 수 없다.","사실형,부정,미래,확실",사실형,부정,미래,확실
바야흐로 뇌에 대한 이해가 인간에 대한 이해를 이끄는 시대로 접어들고 있다.,"사실형,부정,미래,확실",사실형,부정,미래,확실
유명 e스포츠 대회 ＇리그오브레전드 챔피언스 코리아＇의 경우 기존 무관중 진행에 이어 6일 1라운드 종료 이후 대회 개최를 잠정 중단하기로 했다.,"사실형,부정,미래,확실",사실형,부정,미래,확실
로반이 법인 창업 절차를 대행하니 창업비용을 들이지 않아도 된다.,"사실형,부정,미래,확실",사실형,부정,미래,확실
만 28세 이상인 연예인이 대학원 진학이나 기관 홍보대사 임명 등을 이유로 군 입대를 피할 수 없게된 것이다.,"사실형,부정,미래,확실",사실형,부정,미래,확실
"더 나아가 영국은 2040년부터 모든 경유, 휘발유, 하이브리드차까지 국내판매를 금지하기로 했다.","사실형,부정,미래,확실",사실형,부정,미래,확실
부마 한 번 왕의 딸과 결혼하면 평생 다른 여자와 결혼할 수 없다.,"사실형,부정,미래,확실",사실형,부정,미래,확실
