index,user_prompt,유형,유형_예측,극성,극성_예측,시제,시제_예측,확실성,확실성_예측
0,또 어찌 부인이 마땅히 할 일이 아니라 하여 책망할 것인가.,대화형,대화형,부정,긍정,과거,현재,불확실,확실
0,미 부사장은 하이 NA EUV를 이용한 반도체 양산 시기는 밝히지 않았습니다.,대화형,사실형,부정,부정,과거,과거,확실,확실
1,개인적으로 CES 2020은 놀랍지 않았습니다.,대화형,추론형,부정,부정,과거,과거,확실,확실
2,다른 동식물엔 해가 되지 않았죠.,대화형,대화형,부정,긍정,과거,과거,확실,확실
3,사정이 이렇다 보니 최근 10년간 퇴직연금 수익률이 연 3%를 넘어선 적이 거의 없습니다.,대화형,추론형,부정,부정,과거,과거,확실,확실
4,그런데 이렇게 맛 좋은 우곡주를 제가 잘 팔지 못했어요.,대화형,대화형,부정,부정,과거,과거,확실,확실
0,피토바이러스를 발견한 연구팀의 일원인 장 미셸 클라베리 프랑스 악스-마르세유대 교수는 논문을 통해 ＂지구 온난화로 인해 영구동토나 빙하가 녹으면 이 속에 들어 있던 원시 미생물들이 다시 부활할 수 있다＂며 ＂우리가 모르는 신종 바이러스의 잠재적 위협에 대비해야 한다＂고 강조했습니다.,대화형,추론형,부정,긍정,미래,미래,확실,불확실
0,그러면 왜 정통 의학에서는 레이어트릴을 항암제로 인정하지 않으려는 것일까,대화형,대화형,부정,긍정,현재,현재,불확실,불확실
1,길쭉한 쌀과 튀겨놓은 조가 비슷할 수조차 없지 않겠나.,대화형,대화형,부정,긍정,현재,현재,불확실,확실
2,＂노인일자리 증가를 비판하는 게 지겹지도 않으냐.＂,대화형,대화형,부정,긍정,현재,현재,불확실,확실
3,단기 조정은 있을 수 있지만 지난해 11월 이후와 같은 하락장이 나올 가능성은 많지 않습니다.,대화형,추론형,부정,부정,현재,미래,불확실,불확실
4,아! 어찌 부인의 필치라고 소홀히 다뤄져서야 되겠는가.,대화형,대화형,부정,긍정,현재,현재,불확실,확실
0,＂이거 아무 국가나 할 수 있는 거 아닙니다.＂,대화형,대화형,부정,긍정,현재,현재,확실,확실
1,DB형은 디폴트 옵션과 전혀 상관이 없습니다.,대화형,사실형,부정,긍정,현재,현재,확실,확실
2,그렇다면 이런 도전이 한국에서는 왜 안 될까?,대화형,대화형,부정,긍정,현재,현재,확실,불확실
3,＂큰 나무 그늘에서 근심 없이 거닐고 그 아래 편안하게 누우면 되지 않는가＂,대화형,대화형,부정,긍정,현재,현재,확실,확실
4,스윙 리듬이 맞지 않으면 공이 원하는 방향으로 날아가지 않기 때문입니다.,대화형,추론형,부정,부정,현재,현재,확실,확실
5,＇무제한＇ 용어가 붙은 조치는 외환위기나 금융위기 때도 전례가 없습니다.,대화형,사실형,부정,긍정,현재,현재,확실,확실
6,＂선은 속지 않는 거예요.＂,대화형,대화형,부정,긍정,현재,현재,확실,확실
7,초비상 시대에 발맞춰 기업마다 ＇컨틴전시 플랜＇ 짜기에 여념이 없습니다.,대화형,사실형,부정,긍정,현재,현재,확실,확실
8,훌륭한 전시가 없었다는 뜻이 아닙니다.,대화형,추론형,부정,부정,현재,과거,확실,확실
9,현재 밤에 고열이나 호흡기 증상이 발현했을 때 갈 곳이 별로 없습니다.,대화형,추론형,부정,부정,현재,현재,확실,확실
10,＂하지만 진짜 잘해주지는 마.＂,대화형,대화형,부정,긍정,현재,현재,확실,확실
11,＂무릇 쌀을 내어 흉년을 극복하는 것은 의풍(아름다운 풍속)을 숭상하는 일에 속하니 진납(進納·곡식이나 재물을 국가에 자진해서 바치는 일)하는 것과는 같지 않습니다＂,대화형,추론형,부정,긍정,현재,현재,확실,확실
12,사실 병원과 의사만 뭐라 할 수도 없습니다.,대화형,추론형,부정,긍정,현재,현재,확실,불확실
