index,user_prompt,유형,유형_예측,극성,극성_예측,시제,시제_예측,확실성,확실성_예측
0,이러한 선거제도는 정당 득표율과 의석수가 비례하지 않고 사표(死票)가 발생하는 등 민심을 제대로 반영하지 못한다는 지적이 나왔습니다.,대화형,추론형,긍정,부정,과거,과거,불확실,불확실
1,그들은 왜 그렇게 국적을 지키고 싶었을까.,대화형,대화형,긍정,긍정,과거,현재,불확실,불확실
2,문 대통령이 사전에도 없는 애매한 ＇고용 연장＇을 꺼내 말하고 싶었던 것은 이게 아니었을까.,대화형,추론형,긍정,긍정,과거,과거,불확실,불확실
3,두 사람의 공기 작업은 어떻게 시작됐을까.,대화형,대화형,긍정,긍정,과거,과거,불확실,불확실
4,웨지의 그루브가 한 달이면 닳아 없어질 정도로 많은 시간을 투자했다죠.,대화형,추론형,긍정,긍정,과거,과거,불확실,확실
5,이제 ＇쓰지 않는 김민정＇을 상상하기 어렵지만 첫 계시의 순간은 언제였을까.,대화형,대화형,긍정,긍정,과거,현재,불확실,확실
6,＂그때 제가 했던 수상 소감은 때늦은 게 아니었나 싶어요.＂,대화형,대화형,긍정,긍정,과거,과거,불확실,불확실
7,2013년부터 2019년까지 401K 수익률은 연평균 9.49%나 된다네요.,대화형,사실형,긍정,긍정,과거,과거,불확실,확실
8,2008년 광우병 사태가 떠올랐다면 지나친 비약일까.,대화형,대화형,긍정,긍정,과거,현재,불확실,불확실
9,두 동강이 나서 싸우고 있는 조국이 그렇게 소중했을까.,대화형,대화형,긍정,긍정,과거,현재,불확실,확실
10,궁금해진다 시인은 사직동을 포기하고 어디에 집을 얻었을까.,대화형,대화형,긍정,긍정,과거,현재,불확실,불확실
11,"공공의 이익을 위해서 봉사하겠다는 선한 마음으로 나선 사람이 대부분일 테지만, 불행히도 도둑놈도 껴 있는 경우도 있을 터.",대화형,추론형,긍정,부정,과거,현재,불확실,불확실
12,지역구 일에서 벗어나기가 얼마나 어려우면 이런 가상의 주인공까지 등장했을까?,대화형,대화형,긍정,긍정,과거,현재,불확실,불확실
