user_prompt,output,유형,극성,시제,확실성
전 세계적으로 가장 기대되는 골프계 사건은 ＇부활한 황제＇ 타이거 우즈(미국)의 미국프로골프(PGA) 최다승 경신일 것이다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
산·바다처럼 강한 햇볕 아래에서 시간을 보낸 뒤 눈부심이 심해졌다면 광각막염을 의심해야 한다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
김 정책실장이 언급한 달은 문 대통령을 뜻하는 것으로 보인다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
이렇게 되면 금융소비자들은 원한다면 급여 계좌를 핀테크 계정으로 옮기고 해당 앱에서 P2P(개인 간 거래) 투자나 펀드 가입 등 재테크를 할 수도 있다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
"꽃잎은 길쭉하게 생긴 것이 꽃이 만발했을 때의 그 순수함은 꽃말 그대로 ＇영원한 사랑＇을 떠올리게 되지만, 꽃잎이 떨어지기 시작하면 주변이 그 쌀알 같은 꽃들의 잔해로 가득해 환경을 관리하는 사람들의 손길이 더욱 바빠질 게 염려되기도 한다.","추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
"자동차 머플러에서 물이 고이거나 떨어지는 현상은 일반적인 현상이며, 과하지 않다면 연료가 완전히 연소하였고, 연비가 좋다는 의미로도 볼 수 있다.","추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
화웨이가 탄소중립 솔루션을 강조하는 것은 탄소 다배출 산업이 몰려 있는 아태 지역 국가의 당면 문제를 역내에서 자체적으로 해결하며 동반 성장을 꾀하겠다는 전략으로 보인다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
하지만 정권 초 검찰의 무차별적인 ＇적폐수사＇ 때는 시중의 따가운 여론을 외면하다가 정권 수사·기소 과정에서 느닷없이 외부 의견수렴을 언급한 것은 ＇권력 감싸기＇로 비칠 수 있다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
하지만 바이러스 폐렴은 환자의 면역력으로 회복이 가능하다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
전망 역시 대체로 긍정적이다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
기업들이 필요로 하는 통계의 시차를 최대한 좁혀 기업 활동에 도움을 주자는 취지로 해석된다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
유니크나 레전더리 등급의 스컬은 더욱 재미있을 듯 하다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
"실제 라운드에 도움이 되는 시뮬레이터장비가 다소 간편하기에 ＇이걸로 연습해서 라운드에 나갈 수 있을까＇라고 생각할 수도 있지만, 실제로는 실력 향상에 꽤 도움이 된다.","추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
이 맛의 비결은 주인장의 손맛에 더해진 국내산 재료와 매일 준비하는 신선한 만두 소가 아닐까 싶다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
아마 우즈는 이왕이면 마스터스에서 그 대사건이 터지길 기대하고 있을 것이다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
"꽃은 힐끔 보아도 예쁘지만, 자세히 바라보고 있으면 그 안에 인생과 삼라만상이 모두 존재하는 것만 같다.","추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
보이스피싱을 비롯해 불법사금융에 대한 피해 신고와 상담이 늘어난 데 따른 것으로 보인다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
골목을 소재로 이런 이미지를 완성한 시인은 삶과 시 양쪽을 모두 깨달은 사람 같다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
카카오게임즈의 서비스 운영 역량이 얼마나 힘을 발휘할지가 중요한 부분이다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
눈이 시려 눈물이 나거나 제대로 뜨기 어려울 정도라면 안구건조증·각막염·자가면역질환 등 숨은 원인을 꼭 따져봐야 한다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
매년 출생인구의 지능 상위 1%가량이 영재에 해당된다고 본다면 2016년까지 매년 4000여 명의 영재가 나오던 것이 2017년부터는 점점 줄어들어 2000명대로 내려앉는 셈이다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
지금 당장 남자 골프 최강이 누구냐고 묻는다면 최근 흐름으로 봤을 때 단연 토머스라고 해도 될 것이다,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
도둑놈일수록 이기기 위해 물불 안 가리고 선거판에 뛰어들 가능성이 높다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
＂보이지 않는 곳에 서서히 쌓이는 것의 강함과 무서움을 안다.＂,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
이런 균들은 치아에만 있는 것이 아니라 잇몸 속으로 타고 들어가 뼈와 혈관을 통해 몸 전체로 퍼질 수 있으므로 주의해야 한다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
50대 이후를 ＇암 연령＇이라고 부르는데 그 까닭은 면역력이 약해져 암에 걸리기 쉽기 때문이다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
수출 소식이 이어지고 주요 방산 업체가 우주 등 신사업에 적극적인 태도를 보이며 성장세에 가속도가 붙을 수 있다는 기대감이 크다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
아파트 4층 높이에 달하는 대형고래지만 20m 이상까지 자라는 참고래치고는 작은 크기로 어린 고래로 추정된다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
＂한국은 퇴직연금을 대부분 원금보장 상품에 넣어놓고 있다.＂,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
봄 가뭄 여파와 재배면적 감소 등이 겹친 때문이다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
단한 번도 경험해보지 못한 선거를 경험할 판이다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
업계에 따르면 국내 케어푸드 시장 규모는 지난해 2조원대를 넘어선 것으로 추정된다.,"추론형,긍정,현재,불확실",추론형,긍정,현재,불확실
