user_prompt,output,유형,극성,시제,확실성
＂노인일자리 비판은 60만명이 넘는 빈곤노인을 그냥 방치하자는 것이냐.＂,"대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
요즘 인기 있는 여행지들의 공통적인 특징인 ＇인생샷＇에 대한 그의 철학과 혜안이 오늘의 남이섬을 있게 하지 않았을까.,"대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
＇상사 뒷담화＇나 ＇회사 기밀 내용＇이 녹음·녹화되는 일은 없을까.,"대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
"안용복, 생몰미상이 없었다면 오늘날 우리가 과연 독도의 소유권을 주장할 수 있었을까.","대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
하이프 머신의 힘은 얼마나 강력할까.,"대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
＂볼을 맞힌다는 생각을 버리고 ＇지나간다＇는 생각을 하며 드라이버를 휘두르면 자연스럽게 거리가 늘어난다. 그리고 임팩트 이후까지 헤드 스피드가 가속되면 피니시 동작은 자연스럽게 나오게 된다＂고 하네요.,"대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
"＂오른 팔꿈치가 뒤로 빠지거나 몸 안쪽에 위치한 상태라면 다운스윙을 정상적으로 할 수 없어 손목을 쓰거나 몸을 쓰게 된다, 당연히 정타와 장타 모두 잃게 된다＂고도 덧붙입니다.","대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
세계 최고 교육 수준 덕분에 범죄 유형도 몸보다 머리를 쓰는 쪽으로 진화했다고 위안을 삼아야 할까.,"대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
마늘꽃이 얼마나 예쁘면 도로변에 경관 식물로 재배하는 곳까지 생겼을까.,"대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
"＂1차 검사는 음성, 재검 시 양성이 나오는 이유는?＂","대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
＂보통 수준의 면역력을 지닌 성인 치료는?＂,"대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
준공 10년이 넘은 아파트가건폐율이 높다는 이유로인근 새 아파트 못지않게시세가 형성되기도 합니다.,"대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
"비트코인이 큰 조정을 보이지만 않는다면, 당분간 마이너 알트코인도 강세를 보일 가능성이 높습니다.","대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
우곡생주를 잘 팔면 아버지에 대한 빚은 갚을 수 있겠죠.,"대화형,긍정,현재,불확실",대화형,긍정,현재,불확실
