index,user_prompt,유형,유형_예측,극성,극성_예측,시제,시제_예측,확실성,확실성_예측
153,＂부당한 지시라고 생각되더라도 저항이라는 걸 해보세요.＂,대화형,추론형,긍정,긍정,미래,현재,확실,불확실
118,불호령 같은 규제를 피함과 동시에 ICO 물결에 탑승하기 위한 어쩔 수 없는 선택이기도 했던 것입니다.,대화형,추론형,긍정,부정,과거,과거,확실,확실
245,이 지검장이 권력 앞에 소신을 꺾지 않길 바란다.,대화형,추론형,긍정,긍정,현재,현재,확실,불확실
408,연동형 비례대표제가 시행되면 지역구 기반이 상대적으로 탄탄한 한국당이 가장 불리하다는 분석이 많기 때문입니다.,대화형,추론형,긍정,부정,현재,현재,확실,확실
278,"과연 지금 한국의 기업, 사회, 국가는 어느 쪽에 가까울까?",대화형,대화형,미정,긍정,현재,현재,불확실,불확실
185,"요즘 세계는 가깝게는 5년 전, 멀게는 10년도 더 전으로 돌아간 것 같습니다.",대화형,추론형,긍정,부정,현재,현재,확실,불확실
234,"감염병으로 시작해 갑자기 온난화 이야기를 꺼낸다니 다소 뜬금없을 수 있지만, 감염병과 온난화는 밀접하게 연결돼 있죠.",대화형,추론형,긍정,긍정,현재,현재,확실,확실
29,그렇다면 소수 정당들이 난립할 우려도 있는데요.,대화형,대화형,긍정,긍정,현재,현재,확실,불확실
82,삼성전자는 EUV 확보에 전력을 다하겠다는 각오입니다.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
158,"다만 비례대표 47석 전체(국회의원 정수 300명은 지역구에서 선출되는 253명과 비례대표제로 선출되는 47명)가 아닌 30석에 ＇캡(cap)＇을 씌워 연동률 50%를 적용하고, 나머지 비례대표 의석인 17석은 기존 방식처럼 정당 득표율에 따라 단순 배분하는 방식을 따르게 됩니다.",대화형,사실형,긍정,긍정,현재,현재,확실,확실
469,"진도 믹스를 키우는 지인이 산책 때면 꼭 개한테 알록달록한 스카프를 둘러 주는데, 이웃들에게 조금이라도 더 친근하게 어필하기 위해서란다.",대화형,추론형,긍정,긍정,현재,현재,확실,확실
420,그런데 필자만의 편견일까?,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
167,＂과거에 엔지니어링 회사를 이끌다 보니 생산 시스템 최적화나 효율화에 대한 고민이 많았습니다.＂,대화형,사실형,긍정,부정,과거,과거,확실,확실
341,이렇게 내 삶에서 정리라는 단어를 영원히 떠나보내야 하는 걸까.,대화형,대화형,긍정,부정,현재,현재,불확실,확실
533,사정이 이렇다 보니 최근 10년간 퇴직연금 수익률이 연 3%를 넘어선 적이 거의 없습니다.,대화형,사실형,부정,부정,과거,현재,확실,확실
537,"이더리움클래식 외에도 아이콘(ICX), 아이오타(IOTA), 카르다노(ADA)와 같은 상대적으로 약세를 보였던 메이저 알트코인이 강세를 보인 한 주였습니다.",대화형,사실형,긍정,긍정,과거,과거,확실,확실
264,2008년 광우병 사태가 떠올랐다면 지나친 비약일까.,대화형,대화형,긍정,부정,과거,현재,불확실,불확실
55,이번 호도 코로나19 밥상이 푸짐합니다.,대화형,대화형,긍정,긍정,현재,현재,확실,확실
148,블록체인을 활용한 글로벌 자산관리 플랫폼이자 OKEx 거래소에만 상장되어 있어 변동폭이 큰 머레큘러퓨쳐(MOF)가 +16%로 상승 폭 1위를 기록했습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
177,"그 뒤를 이어 최근 가장 강한 상승세를 보이고 있는 아이콘(ICX)이 +14%로 2위를 차지하고 있으며, 대표적인 바이낸스 런치패드 코인인 매틱네트워크(MATIC)와 하모니(ONE)이 그 뒤를 잇고 있습니다.",대화형,사실형,긍정,긍정,현재,현재,확실,확실
291,그러나 바뀐 선거법에 의해 연동률을 50%만 적용하기로 결정됐기 때문에 일단 그 절반인 5석만 인정돼 일단 25석을 얻는다는 논리입니다.,대화형,추론형,긍정,긍정,현재,현재,확실,확실
90,"시장은 강하지만 비트코인이 1,100만원을 돌파하고 2차 상승을 할지 여부가 확실하지 않기 때문에 알트코인 간 순환매매가 돌고 있는 모습입니다.",대화형,추론형,긍정,긍정,현재,현재,확실,불확실
404,응급실이 폐쇄됐을 때의 부작용을 생각하지 않을 수 없을 테니까요.,대화형,추론형,긍정,부정,현재,미래,확실,확실
227,차라리 아무것도 안 하는게 돈을 버는 것일 수 있다는 생각을 갖도록 해야 하지 않을까.,대화형,대화형,긍정,부정,미래,현재,불확실,불확실
268,"하지만 알 수 없는 금리 인하 가능성 외에 실리콘밸리에 있는 필자의 눈에는 S&P500을 이끄는 대형 기술기업(마이크로소프트, 애플, 아마존, 페이스북, 구글)의 최근 움직임이 더 눈에 띕니다.",대화형,추론형,긍정,긍정,현재,현재,확실,확실
204,CES 2020에 참석했던 분들이 ＇이번 CES에서 볼 것이 별로 없더라＇는 이야기를 하시는 것을 적잖게 들을 수 있었습니다.,대화형,사실형,긍정,부정,과거,과거,확실,확실
192,북반구의 4분의 1을 덮고 있는 동토층도 같은 운명에 처해 있습니다.,대화형,사실형,긍정,부정,현재,현재,확실,확실
515,＂세종시는 정부 규제의 시작이라고 할 수 있는 2017년 8·2 대책 최대 피해 지역입니다.＂,대화형,사실형,긍정,부정,현재,현재,확실,확실
228,"＂이번 자금난만 넘어가면 괜찮을 기업인데, 이런 기업은 어떻게든 살려줘야 해요.＂",대화형,추론형,긍정,긍정,현재,현재,확실,확실
73,세종시 아파트가 들썩거리는 이유는 무엇일까.,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
302,이번 호 커버스토리에서 다른 기업은 어떤 대책을 세우고 있는지 엿보고 아이디어를 얻으시길 바랍니다.,대화형,대화형,긍정,긍정,현재,현재,확실,확실
281,"연금 선진국인 미국과 호주, 영국 등은 일찌감치 디폴트 옵션을 적용했죠.",대화형,사실형,긍정,긍정,과거,과거,확실,확실
573,"그 결과 ＇별들의 전쟁＇에서 페덱스컵 랭킹 1위, 상금 랭킹 2위라는 놀라운 성적을 기록 중입니다.",대화형,사실형,긍정,긍정,현재,현재,확실,확실
538,"또 빙하나 동토가 녹은 물이 토양을 오염시키거나, 강과 호수 등 식수원에 유입될 가능성도 있습니다.",대화형,추론형,미정,부정,미래,현재,불확실,불확실
287,"1조원 영업이익을 내는 기업도 기업어음 발행에 차질이 빚어져 ＇4월 위기설＇이 떠돌았던 회사채 시장을 집중 점검하고, 자영업자 줄도산을 막겠다며 내놓은 50조원 민생금융안정 패키지가 현장에서 어떻게 타이밍을 못 맞추고 있는지를 보여드립니다.",대화형,추론형,긍정,부정,현재,현재,확실,확실
81,비상 중독에는 살아 있는 양을 찔러 나온 피를 복용하라.,대화형,추론형,긍정,긍정,현재,현재,확실,확실
10,2020년 2월 3일 오전 8시 기준입니다.,대화형,대화형,긍정,긍정,현재,현재,확실,확실
78,그렇다면 차천로는 과연 어떤 비석을 두고 이런 말을 했던 걸까.,대화형,대화형,미정,긍정,과거,과거,확실,불확실
6,우선 더러움의 대명사는 정말이지 오해입니다.,대화형,대화형,긍정,부정,현재,현재,확실,확실
571,＂아마추어 골퍼들이 클럽을 놓지 못하고 붙잡기 때문에 정확한 임팩트가 나오지 않는다. 임팩트 때 양손을 쭉 펴주면 아마추어 골퍼들이 고민하는 모든 것이 해결될 것＂이라고 알려주네요.,대화형,추론형,긍정,부정,현재,현재,확실,확실
