index,user_prompt,유형,유형_예측,극성,극성_예측,시제,시제_예측,확실성,확실성_예측
44,"어제에 이어 프라이버시 대표 코인인 지코인(XZC)과 지캐시(ZEC)가 각각 36%, 8%로 상승 TOP 10에 이름을 올렸습니다.",대화형,사실형,긍정,긍정,과거,과거,확실,확실
47,그래서인지 이번 CES 2020에서는 보다 많은 B2C 회사가 어떻게 하면 그런 기술들로 ＇앞으로 무엇을 할 수 있다＇를 넘어서서 ＇당장 무엇을 할 수 있다＇를 보여주려는 압박을 강하게 받고 있다는 사실을 확인할 수 있었습니다.,대화형,추론형,긍정,긍정,과거,과거,확실,불확실
4,대부분 프로젝트가 탄생했던 2017년과 2018년을 돌이켜보면 이해할 수 있습니다.,대화형,추론형,긍정,긍정,과거,현재,확실,확실
55,"연금 선진국인 미국과 호주, 영국 등은 일찌감치 디폴트 옵션을 적용했죠.",대화형,사실형,긍정,긍정,과거,과거,확실,확실
26,"우곡주를 사장시키고 아무 성과도 내지 못했다는 게 마음의 빚으로 남았고, 그 빚을 갚고자 ＇우곡생주＇를 개발했습니다.",대화형,추론형,긍정,긍정,과거,과거,확실,확실
64,그런가 하면 3월 19일 종가 기준 코스피는 1500선 밑으로 떨어졌죠.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
73,마니아층이 처음 블록체인에 반한 이유였습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
10,"3만년 전, 상상하기도 힘들 만큼 오래전 이야기죠.",대화형,대화형,긍정,긍정,과거,과거,확실,확실
40,여야 정치권은 그런 우려를 감안해 봉쇄조항을 마련해 군소정당 난립을 어렵게 했습니다.,대화형,추론형,긍정,긍정,과거,과거,확실,확실
107,＂장벽은 이미 부서지고 있었거든요.＂,대화형,대화형,긍정,긍정,과거,과거,확실,확실
18,아마추어 골퍼들이 몸통 스윙을 쉽게 익힐 수 있는 자신만의 비법도 공개했습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
62,"＂정부에서 37년 만에 택시 동승 규제를 풀어줘서, 스타트업 입장에서 지난해에는 의미 있는 실험 기회가 주어졌습니다.＂",대화형,추론형,긍정,긍정,과거,과거,확실,확실
11,지난 시즌 미국프로골프(PGA) 투어에서 우승 없이 가장 꾸준한 활약을 펼치며 신인상을 차지한 임성재(22·CJ대한통운)는 올 시즌에는 더욱 뜨거운 샷 감각을 선보이며 드디어 꿈에 그리던 우승까지 차지했습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
36,반도체 컨설팅업체 테크인사이트의 칩 이코노미스트인 댄 허치슨은 ＂하이 NA EUV는 반도체 기술을 선도하는 차세대 주요 혁신 기술＂이라면서 TSMC가 이를 2024년에 확보함으로써 ＂가장 앞선 기술을 더 빨리 얻게 됐다＂고 짚었습니다.,대화형,대화형,긍정,긍정,과거,과거,확실,확실
89,＂한국 내 투자는 어느 정도 진행됐는지?＂.,대화형,대화형,긍정,긍정,과거,현재,확실,불확실
91,평소 사용하던 얇은 그립보다 조금 두꺼운 그립으로 바꿨죠.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
109,"＇코로나19가 잡혀가고 있나＇ 희망의 빛이 보일 무렵, ＇대구 17세 소년 사망＇ 뉴스가 나오면서 국민이 다시 패닉에 빠졌습니다.",대화형,추론형,긍정,긍정,과거,과거,확실,확실
