user_prompt,output,유형,극성,시제,확실성
＂새로 개발된 코로나19 검사법은?＂,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
그래도 막상 그곳을 떠올린다면 다르지 않을까.,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
공짜로 돈을 나눠주겠다는 데 반대할 도민이 과연 있을까.,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
국가의 미래가 좌우될 만큼 중요한 자리에 자신이 나서서 일하겠다고 나선 사람들은 누구일까.,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
국내 유통공룡들은 어떤 생존 전략을 준비하고 있나.,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
세종시 아파트가 들썩거리는 이유는 무엇일까.,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
그렇다면 조선 최고의 명문가는 어딜까.,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
그런데 현실은 어떨까?,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
"＂무모한 돈키호테인가, 용감한 영웅인가?＂.","대화형,미정,현재,불확실",대화형,미정,현재,불확실
＂기존에 설치된 제품과의 차이점은?＂,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
"AI가 바리스타와 바둑기사가 되어 곳곳에서 사람을 밀어내는 지금, ＇인간다움＇이란 어디에 있을까.","대화형,미정,현재,불확실",대화형,미정,현재,불확실
＂코로나19로 확진된 영아도 마스크를 착용해야 하나?＂,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
그렇다면 서울·수도권 여러 지역 중 눈여겨볼 만한 곳은 어디일까.,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
그 이유는 뭘까.,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
핵무기로 세상을 위협하는 북한이 가장 두려워하는 것이 뭘까?,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
그곳에도 골목은 있을까?,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
어떤 스윙일까요.,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
"과연 지금 한국의 기업, 사회, 국가는 어느 쪽에 가까울까?","대화형,미정,현재,불확실",대화형,미정,현재,불확실
그럼 주목할 만한 종목으로는 어떤 것이 있을까요.,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
근래 들어 동물 소재 영화가 범람하는 이유는 무엇일까.,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
＂혈액방사선조사기란 무엇인가?＂,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
"아침에 일어나서 잠이 들 때까지 스크린을 통한 정보를 뇌에 입력받으며 정보의 홍수 속에 살아가는 정보화 시대. 과연 하루 동안 내리는 다양한 의사결정의 주체는 과연 ＇나＇일까, 아니면 나의 뇌 속에 들어와 있는 ＇정보＇일까.","대화형,미정,현재,불확실",대화형,미정,현재,불확실
＂산모나 신생아 치료는?＂,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
송 큐레이터는 지인들과 작품 소유 정리에 실패한 것일까?,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
그런데 필자만의 편견일까?,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
유독 사망자가 중국에서만 나오는 이유가 뭘까?,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
＂향후 국내 보급 계획은?＂,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
그렇다면 국회의원은 지역구의 민원 창구라는 말일까?,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
＂환자 입장에서 편의성이나 안전성 등은 어떤가?＂,"대화형,미정,현재,불확실",대화형,미정,현재,불확실
