user_prompt,output,유형,극성,시제,확실성
제9호 태풍 ＇마이삭(MAYSAK)＇이 오는 2~3일 전국에 강한 바람과 함께 일부 지역에는 400㎜ 이상의 물폭탄이 예상된다.,"예측형,미정,미래,불확실",예측형,미정,미래,불확실
강원 내륙에도 짙은 안개가 끼는 곳이 있겠다.,"예측형,미정,미래,불확실",예측형,미정,미래,불확실
"이튿날인 18일 아침최저기온은 19~23도, 낮최고기온은 26~32도를 기록할 전망이다.","예측형,미정,미래,불확실",예측형,미정,미래,불확실
"숙박 O2O(Online to Offline, 온라인 기반 오프라인) 플랫폼 업계 1·2위를 차지하고 있는 야놀자와 여기어때가 작년 한 해 나란히 인수·합병(M&A)을 통해 몸집을 키우거나 중심을 잡아 나감에 따라 향후 이들 간에 경쟁이 더욱 치열해질 전망이다.","예측형,미정,미래,불확실",예측형,미정,미래,불확실
한편 17일 낮 기온이 전날 대비 3~5도 내외로 올라 평년보다 조금 높겠다.,"예측형,미정,미래,불확실",예측형,미정,미래,불확실
"특히, 소나기가 내리는 지역에선 돌풍과 함께 천둥·번개가 치고 중부내륙 지역을 중심으로 우박이 떨어지는 곳이 있겠다.","예측형,미정,미래,불확실",예측형,미정,미래,불확실
"예상 강수량은 5∼40㎜로, 충남서해안과 전라권서부엔 5㎜ 내외의 비가 내리겠다.","예측형,미정,미래,불확실",예측형,미정,미래,불확실
해상에서는 서해상을 중심으로 돌풍과 함께 천둥·번개가 치는 곳이 있겠다.,"예측형,미정,미래,불확실",예측형,미정,미래,불확실
"금요일인 17일은 전국에 구름이 많고 밤부터 차차 흐려지겠으며, 낮부터 밤 사이 서울과 경기 남부, 강원 중·남부 내륙, 충청권 내륙, 전북 동부, 전남 북부 내륙, 경상 서부 내륙에 소나기가 오는 곳이 있겠다.","예측형,미정,미래,불확실",예측형,미정,미래,불확실
17일 저녁 경기남부와 충청권을 중심으로 소나기가 내리는 곳이 있겠다.,"예측형,미정,미래,불확실",예측형,미정,미래,불확실
