user_prompt,output,유형,극성,시제,확실성
송하진 전 지사가 이용하는 동안 전북도청 소속 청경 1명이 파견 배치됐고 조리사나 관리사 등 별도 인력은 없다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
백내장은 모두 수술이 필요한 것은 아니다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
비밀은 ＇영재＇를 죽이는 우리의 입시 제도에 있다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
4차 산업 기술을 접목한 ＇고소의 첨단화＇ 추세는 마냥 반가운 현상은 아니다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
식재가 단순하고 양념이 새지 않다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
올해 같은 경우는 코로나 때문에 고장까지 챙길 상황도 아니다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
"통원 치료 보장금액은 어떤 상품에 가입했느냐에 따라 다른데, 통상 30만원을 넘지 않는다.","사실형,부정,현재,확실",사실형,부정,현재,확실
그러나 이는 정확하지 않다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
"쉽게 말해, 국고채 금리는 정부가 보증을 서기 때문에 어지간해서는 원리금을 떼일 우려가 없다.","사실형,부정,현재,확실",사실형,부정,현재,확실
"마치 사람 잡아먹는 추악하고 잔인한 귀신이지만, 한편으로는 부처의 가르침을 지키는 수호신 ＇야차(夜叉)＇처럼. 그는 친한 동료였더라도 스파이임이 밝혀지면 가차 없이 죽이고, 수단과 방법을 가리지 않은 채 고문까지 서슴지 않는다.","사실형,부정,현재,확실",사실형,부정,현재,확실
현재 공식적인 치료제가 없는 것은 맞는다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
일단은 버텨보지만 체력은 별로 남아 있지 않다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
단 사업자 등록 신청 관련 당국 승인 거부 시 수수료는 환불되지 않는다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
상당수 치즈를 중국을 비롯한 후발 주자들이 가져갔으며 남겨진 치즈는 많지 않다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
"말이 휴가이지, 이미 시즌을 시작한 선수들에게는 편안히 쉴 마음의 여유가 없다.","사실형,부정,현재,확실",사실형,부정,현재,확실
무엇을 먹어도 잡스럽지 않다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
"＇아이온2＇, ＇블레이드&소울2＇ 등의 라인업이 대기 중이지만 출시 일정이 불확실하다.","사실형,부정,현재,확실",사실형,부정,현재,확실
트로트로 큰 인기를 모은 송가인의 노래도 아니다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
대사증후군은 한마디로 음식을 섭취하면 그것을 에너지로 바꿔주고 남은 노폐물은 체외로 배출시키는 대사작용이 잘 되지 않는 상태이다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
수정체가 뿌옇게 변하는 것으로 심한 경우가 아니라면 육안으로 확인하기 쉽지 않다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
디폴트 옵션이 도입되더라도 즉시 적용되는 것은 아니다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
"도사견 같은 맹견이나 맹금류, 건강에 문제가 있거나 임신한 암컷은 태울 수 없다.","사실형,부정,현재,확실",사실형,부정,현재,확실
말을 하려고 하면 빨리 나오지 않는다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
이후 삼성전자는 6만원대에 머물렀고 ＇6만전자＇ 오명을 벗지 못하고 있다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
두 회사 모두 ＂좋은 매물이라 내부적으로 정밀하게 살펴보는 절차를 진행 중＂이라며 관련 내용을 부인하지 않고 있다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
김상희 더불어민주당 부위원장이 9월 임기를 마친 후 3개월 동안 위원회는 후임을 찾지 못하고 있다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
일본에서 찍은 책판의 문자는 자획이 정연하여 우리나라의 것과는 비교가 되지 않는다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
지금 한반도 남쪽에는 명태가 살지 않는다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
매우 높다는 답은 3%가 채 안 된다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
"그러나 플랫폼 노동은 대부분 노동자는 있지만, 사용자는 없다.","사실형,부정,현재,확실",사실형,부정,현재,확실
"연일 들려오는 민간항공시장 상황은 운항 중단에 따른 여파가 폭풍 전야로, 민간항공사들의 거점공항은 그라운딩 된 여객기가 주기장을 가득 채우고 있으며, 우리나라 민간항공사와 공항도 예외는 아니다.","사실형,부정,현재,확실",사실형,부정,현재,확실
장애인주차구역에서 차가 나올 때는 장애인이 꼭 탑승하지 않아도 된다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
아이스크림 생산 등 주기적으로 특정 시기 업무량이 증가하는 경우는 특별연장근로 인가 사유가 되지 못한다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
＂말이 안 나온다(I＇m Speechless).＂,"사실형,부정,현재,확실",사실형,부정,현재,확실
현행법상 미성년자는 숙박업소에서 이성과 혼숙을 할 수 없다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
"뇌는 생물학적 기관만이 아니라, 내가 숨을 쉬고, 대화를 하고, 일을 하고, 잠을 자는 일상생활 그 자체이자 나의 과거와 현재, 미래이다.","사실형,부정,현재,확실",사실형,부정,현재,확실
서울 지하철 2·5호선 영등포구청역과 맞닿아 있어 입지적으로는 우수하지만 용적률이 299%에 달해 재건축이 사실상 불가능하다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
하지만 세입자는 조건에 해당하는 일부만 이사비를 받고 별도 보상이 없다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
이 같은 상황임에도 불구하고 국회에서 ＇기업결합 반대＇ 목소리가 나온 것은 처음은 아니다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
"많은 양의 야채와 과일을 섭취해도 미량영양소 필요량을 채워줄 수 없는 상황인데 여기에 육류와 흰쌀밥, 흰 밀가루 위주의 식생활을 계속하면 혈관은 그리 오래 버티지 못한다.","사실형,부정,현재,확실",사실형,부정,현재,확실
이 법률엔 내부 통제를 위반한 금융기관 직원에 대한 금감원 징계를 담은 규정이 없다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
다만 국유림과 제한적인 민간 소유 지역만을 대상으로 해 대부분 태양광발전 개발사업은 환경 영향 평가를 받지 않는다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
"그 후 한국 식품의약품안전처에서도 살구씨, 복숭아씨 등은 식품원료로 사용을 금하고 있다.","사실형,부정,현재,확실",사실형,부정,현재,확실
감정원은 심지어 표본도 공개하지 않는다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
하지만 임신부 감염과 조산 사이에 직접적인 연관성이 있다는 증거는 없다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
다만 회사가 유급휴가를 지원하는 기간에는 상병수당을 받지 못한다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
"좋아하는 것도 반복되고 시간이 지나면 뇌가 식상해 하며, 성취감은 뇌를 활성화시키지만 지속성을 보장하진 못한다.","사실형,부정,현재,확실",사실형,부정,현재,확실
보관을 대가로 예금금리를 제공하는 행위는 못하게 한다는 것이다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
인건비 걱정을 안 할 수가 없다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
호재를 맞은 한국 지방자치단체들이 이를 놓칠 리 없다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
3년을 맡겨도 금리는 연 1.15∼2.20%로 큰 차이가 없다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
이렇게 격차가 크니 ＇팩트＇라고 믿는 국민은 많지 않다.,"사실형,부정,현재,확실",사실형,부정,현재,확실
"미국 온라인 캘러웨이 커스텀 숍에서 다양한 색상과 스탬프 옵션을 제공하는데, 한국도 서비스를 진행할지는 아직 알려진 바가 없다.","사실형,부정,현재,확실",사실형,부정,현재,확실
