user_prompt,output,유형,극성,시제,확실성
과연 공주와 단종의 유복자는 관노의 삶을 살았을까.,"대화형,미정,과거,불확실",대화형,미정,과거,불확실
＇국보 1호＇ 숭례문 현판은 과연 누가 썼을까?,"대화형,미정,과거,불확실",대화형,미정,과거,불확실
그러나 20세기 초반 미국인들을 더 큰 공포로 몰아넣은 것은 1929년의 대공황이 아니었을까.,"대화형,미정,과거,불확실",대화형,미정,과거,불확실
대테러 작전이라지만 전쟁을 불사할 만큼 그렇게 긴박한 상황이었을까?,"대화형,미정,과거,불확실",대화형,미정,과거,불확실
독일 출신 베네딕토 16세와 아르헨티나 출신 프란치스코 교황 사이엔 어떤 일이 있었을까.,"대화형,미정,과거,불확실",대화형,미정,과거,불확실
볼일을 보고 꼭지만 누르면 그걸로 끝이라고 믿었는가.,"대화형,미정,과거,불확실",대화형,미정,과거,불확실
서방 학자들이 흔히 범하는 희망적 사고나 확증 편향 오류였을까.,"대화형,미정,과거,불확실",대화형,미정,과거,불확실
그러면 그중에서 가장 효험이 좋았던 온천은 어디일까.,"대화형,미정,과거,불확실",대화형,미정,과거,불확실
까마득 잊고 살았던 걸까.,"대화형,미정,과거,불확실",대화형,미정,과거,불확실
그렇다면 조선군은 형편없는 겁쟁이였을까?,"대화형,미정,과거,불확실",대화형,미정,과거,불확실
