user_prompt,유형,극성,시제,확실성
"납세자는 심의위원회에서 의견을 표명할 수 있고 과세 전 적부심사와 이의신청, 심판청구 등을 통해 이의를 제기할 수 있다.",추론형,긍정,미래,불확실
하지만 글로벌 경기 불확실성으로 반도체 부활 시점이 안갯속인 데다 2단계로 접어든 미·중 무역분쟁 결과도 예단할 수 없어 위기감은 여전하다.,추론형,긍정,현재,확실
대본에 그려진 인물의 내면 연기를 해줄 수 있어야 했기 때문이다.,추론형,긍정,과거,확실
정보 미디어의 영향이 갈수록 커지는 사회 속에서 자칫하면 정보가 뇌의 주인자리를 차지하기 쉽다.,추론형,긍정,현재,확실
자라나는 미래세대에 보다 유익한 정보를 전달해 주고 싶다면 편향적인 정보로 왜곡된 정보의 전달보다는 다양한 정보를 보편적인 관점에서 넓은 시야로 바라볼 수 있는 자세를 갖추어 주는 것이 무엇보다 필요하다.,추론형,긍정,현재,확실
그래서 노비에 대한 양반들의 집착은 대단했다.,추론형,긍정,과거,확실
본인 소득과 주택 매입 가격이 정책 대출 요건에 해당하는지도 함께 살펴야 한다.,추론형,긍정,현재,확실
그 과정에서 정상 부분에서는 쥐어 짠 듯한 모습의 바위들이 서로 엉겨 붙어 있는 모습을 하게 된 것일까?,추론형,긍정,현재,확실
그런데 일부러 꼬리를 자른다는 사실을 알고는 적잖이 충격받았다.,추론형,긍정,과거,확실
이번에 발표된 점도표에서 잘 나타난다.,추론형,긍정,현재,확실
전 세계적으로 가장 기대되는 골프계 사건은 ＇부활한 황제＇ 타이거 우즈(미국)의 미국프로골프(PGA) 최다승 경신일 것이다.,추론형,긍정,현재,불확실
"물론 인구 감소와 함께 국가의 국내총생산(GDP)은 줄어들겠지만, 개인의 행복과 풍요를 결정짓는 1인당 GDP는 상승할 수 있다.",추론형,긍정,미래,불확실
"일본의 전력 부족은 화력발전소 가동 중단과 원전 재가동 부진, 지난 3월 후쿠시마현 앞바다 지진 여파 등이 복합적으로 영향을 미친 결과다.",추론형,긍정,과거,확실
다만 실손보험 가입별로 자기부담금을 제외한 금액을 보장받을 수 있다.,추론형,긍정,현재,확실
이들은 화려한 프로필이 없을 뿐 치열하게 한국 정치를 고민하는 사람들이다.,추론형,긍정,현재,확실
통풍은 남성 환자가 92% 이상을 차지하는 대표적인 남성 질환임을 알 수 있다.,추론형,긍정,현재,확실
1점 차로 초박빙 승부를 펼친 소리꾼 전영랑과 트로트 요정 강유진은 민요와 트로트의 경쟁으로 무대를 다채롭게 했다.,추론형,긍정,과거,확실
반면 실제 중산층 일자리가 집중된 제조업과 도·소매업 등의 침체에 대한 대책은 실효가 없어 국민들은 정부의 ＇중산층 정책＇ 자체가 실종된 것으로 보고 있다.,추론형,긍정,현재,확실
그 결과가 최근 코로나19 사태 속에서 중국인 유학생 입국을 둘러싼 갈등이다.,추론형,긍정,현재,확실
"호주, 인도, 카타르를 상대로 좋은 결과를 낸다고 해도 문제는 이란이다.",추론형,긍정,현재,확실
"통계적 지식이 필요한 제법 난해한 책이지만, 이들의 제안은 매우 실용적이다.",추론형,긍정,현재,확실
이들 연구가 가리키는 답은 간명하다.,추론형,긍정,현재,확실
그림만이 삶의 증거였다.,추론형,긍정,과거,확실
오히려 호흡기 손상을 일으킬 수 있어 주의해야 한다.,추론형,긍정,미래,확실
"비타민이라 부작용이 없을 거라는 생각이 들겠지만, 합성비타민 A의 경우 천연비타민 A와는 전혀 다르다는 것을 알 수 있다.",추론형,긍정,현재,확실
개인투자자는 주식 양도세 대상을 종목당 100억원으로 대폭 올리는 것을 환영하는 분위기다.,추론형,긍정,현재,확실
아보카도에는 칼륨이 풍부하므로 신장 기능이 약하다면 섭취를 금하는 것이 좋다.,추론형,긍정,현재,확실
마스크 속 정확한 표정은 읽을 수 없었지만 눈빛에서 느껴지는 전체적인 분위기는 무겁고 굳어 보였다.,추론형,긍정,과거,확실
지난해 설비 투자액이 180조4000억원이었다는 점을 감안하면 21조5000억원의 투자 증가 효과가 나올 것으로 분석된다.,추론형,긍정,현재,확실
"이를 통해 ＇파랑＇, ＇보라＇, ＇빨간 쥐＇를 소환한 후 사냥하면 최대 ＇축복받은 신년반지＇, ＇펜릴의 뿔피리＇ 등의 고급 아이템을 받을 수 있다.",추론형,긍정,미래,확실
나를 달래며 엄마는 늙었지이제 싹이 튼다.,추론형,긍정,현재,확실
위메이드(대표 장현국)가 신작 MMORPG ＇미르M: 뱅가드 앤 배가본드＇의 장기 흥행을 노린다.,추론형,긍정,미래,확실
불안감은 목 좋은 아파트와 명문대 졸업장 시세에 따라 널뛰기를 한다.,추론형,긍정,현재,확실
"하지만 고통스런 시간 속에 간간히 피어나는 웃음꽃, 힘든 자가 더 힘든 자를 돕는 희생 등이 삶의 의미를 되돌아보게 한다.",추론형,긍정,현재,확실
이렇게 눈이 안 오면 우리는 언젠가 ＇눈의 서사(敍事)＇를 잃어버릴지도 모른다.,추론형,긍정,미래,불확실
＇군주론＇만 알고 있는 사람은 마키아벨리를 피도 눈물도 없는 권력유지법을 고안한 냉혈한으로 이해한다.,추론형,긍정,현재,확실
불과 2번의 실패로 개발에 참여한 모든 이들을 비난하는 것은 가혹한 일이다.,추론형,긍정,현재,확실
의성의 맹주들은 막강한 부를 활용해 혼맥으로 맺어진 김씨를 적극 후원했을지 모른다.,추론형,긍정,과거,불확실
자영업 다이어트를 해야 한다.,추론형,긍정,미래,확실
그는 임금에 대한 충성이 여러 신하 중에서도 각별했다.,추론형,긍정,과거,확실
실제 시장에 판매되는 1종 인증 제품은 PM 저감 능력이 80% 이상이 되어야만 판매할 수 있다.,추론형,긍정,미래,확실
이제는 대출을 받을 때 고객이 정보 조회에 동의하면 대출 은행이 고객의 다른 은행 금융 자산을 일괄 조회할 수 있다.,추론형,긍정,미래,확실
정년을 연장하는 것과 임금을 깎는 것이 교환 관계에 있다고 본 것이다.,추론형,긍정,과거,확실
투자가 성사됐더라면 올해 토론토 블루제이스로 이적한 류현진 선수가 LA 다저스에 잔류해 프랜차이즈 스타로 자리매김했을지도 모른다.,추론형,미정,미래,불확실
내부에서 중량감 있는 인사를 찾지 못하면 외부 낙하산이 올 수도 있다.,추론형,미정,미래,불확실
대학 교수로 성장한 젊은 지식인들은 유능할지 모르나 공공의 삶을 살찌우지는 않았다.,추론형,긍정,과거,확실
경복궁역에서 지하철로 30여분. 노량진에 도착해 도보 15분이면 이곳을 찾을 수 있다.,추론형,긍정,미래,확실
안전운전은 기본이고 승용차 좌석 중 안전한 ＂명당 좌석＂을 어떻게 배정하느냐도 중요하다.,추론형,긍정,현재,확실
매우 강력한 개방을 요구했지만 그의 이런 주장이 받아들여지기는커녕 조선은 더 강력한 쇄국을 향해 내달렸다.,추론형,긍정,과거,확실
"절의를 앞세운 영남 사림들(김종직, 김굉필, 김일손 등 길재의 제자)은 성종의 특별한 총애로 대거 중앙 정치 무대로 진출하지만, 연산군 4년(1498) 유자광, 이극돈 등의 훈구파가 일으킨 무오사화로 참혹한 화를 면치 못한다.",추론형,긍정,과거,확실
서포 김만중의 《서포만필》은 그에 대해 중국 고승들의 설법을 대충 본떠 시늉만 냈다고 혹평했다,추론형,긍정,과거,확실
이때 필요한 플랫폼이 바로 브레이커다.,추론형,긍정,현재,확실
지금의 부족함이 성장을 마친 후에 큰 잔상으로 남게 될까 두려움이 찾아와서다.,추론형,긍정,현재,확실
