user_prompt,output,유형,극성,시제,확실성
박탈성 건선은 은백색 각질과 붉은 반점이 전신에 나타나는데 이 건선은 심한 형태의 건선으로 치료를 받아도 예후가 좋지 않다고 한다.,"사실형,부정,현재,불확실",사실형,부정,현재,불확실
좋은 툴이 많지만 모델링시 이를 고려해 제작한 것만큼 효과가 좋지는 않다고 한다.,"사실형,부정,현재,불확실",사실형,부정,현재,불확실
아끼고 노심초사하며 쓰는 스피커가 아니다.,"사실형,부정,현재,불확실",사실형,부정,현재,불확실
초등학생 미만은 입장할 수 없다.,"사실형,부정,현재,불확실",사실형,부정,현재,불확실
셔츠는 거의 유행을 타지 않는다.,"사실형,부정,현재,불확실",사실형,부정,현재,불확실
다만 해외에는 유사 사례가 없다.,"사실형,부정,현재,불확실",사실형,부정,현재,불확실
일년 내내 사용을 권하지만 오피스에서 일하는 도시 생활자라면 현실적으로 11월부터 2월까지는 크게 부담 가지지 않아도 된다.,"사실형,부정,현재,불확실",사실형,부정,현재,불확실
하지만 라이크 커머스라는 거대한 트렌드 하에서 엿보이는 역기능도 적지 않다.,"사실형,부정,현재,불확실",사실형,부정,현재,불확실
차 바퀴가 절반 이상 파묻혀 운전자 힘으로는 갯벌에서 나오기 어려워 보인다.,"사실형,부정,현재,불확실",사실형,부정,현재,불확실
사실 얼핏 봐서는 무엇이 소나무인지 눈잣나무인지 단박에 구별할 수는 없었다.,"사실형,부정,현재,불확실",사실형,부정,현재,불확실
"더불어시민당에 참여한 정당들이 선거에서 3% 이상 지지를 받을 수 있는 정당이라면 문제가 없지만, 그런 수준의 지지를 받기 어렵다면 오히려 표심이 과대 대표되는 현상이 나타난다.","사실형,부정,현재,불확실",사실형,부정,현재,불확실
