user_prompt,output,유형,극성,시제,확실성
넥슨(대표 이정헌)이 오는 6월 8일 개막하는 게임 지식공유 행사 ＇넥슨개발자콘퍼런스(NDC)＇를 통해 신작 MMORPG ＇프라시아 전기＇의 존재감 알리기에 나선다.,"사실형,긍정,미래,확실",사실형,긍정,미래,확실
올 하반기 브라질 알칸타라 발사 센터(Alcantara Launch Center)에서 ＇한빛-TLV(시험발사체)＇ 최초 시험 발사를 앞두고 있다.,"사실형,긍정,미래,확실",사실형,긍정,미래,확실
국내 첫 출시는 크라우드 펀딩 플래폼 와디즈를 통해 이뤄지며 펀딩 오픈 시기는 오는 9일 오후 2시다.,"사실형,긍정,미래,확실",사실형,긍정,미래,확실
＇기생충＇의 아카데미 시상식 최종 후보 포함 여부는 오는 13일 발표된다.,"사실형,긍정,미래,확실",사실형,긍정,미래,확실
과기정통부는 발사 예정일인 21일 오전에 누리호 발사관리위원회를 개최해 누리호에 추진제를 충전할지 여부를 결정한다.,"사실형,긍정,미래,확실",사실형,긍정,미래,확실
다만 고가 포장재를 사용하는 고급 탁주는 앞으로 용기비용이 과세표준에서 제외되면서 세부담도 줄어들게 된다.,"사실형,긍정,미래,확실",사실형,긍정,미래,확실
"게임빌(대표 송병준)은 모바일 야구게임 ＇게임빌프로야구 슈퍼스타즈＇에 신규 트레이너를 추가하고 트레이너 확정 획득 시스템 도입, 출석 보상 개편 등의 업데이트를 실시한다.","사실형,긍정,미래,확실",사실형,긍정,미래,확실
그라비티는 사전예약 소식을 ＇라그나로크 택틱스＇ 해시태그와 함께 본인의 SNS에 전체 공개로 공유한 이용자 중 추첨을 통해 총 50명에게 구글 기프트 카드도 선물한다.,"사실형,긍정,미래,확실",사실형,긍정,미래,확실
"그가 게임빌, 위메이드를 거쳐 해외 게임 회사인 갈라게임즈에 지난 4월 합류했다.","사실형,긍정,미래,확실",사실형,긍정,미래,확실
코엑스에서는 1일 2회 특별방역소독을 실시할 계획이다.,"사실형,긍정,미래,확실",사실형,긍정,미래,확실
"LDL 콜레스테롤은 동맥경화와 혈전을 유발하는데, 아보카도의 불포화 지방이 이런 위험을 낮추어 주는 것이다.","사실형,긍정,미래,확실",사실형,긍정,미래,확실
컴투스는 국내 시장 출시를 통해 ＇크로니클＇의 게임성을 입증하고 하반기에는 C2X 플랫폼에 얹어 글로벌 시장도 공략한다.,"사실형,긍정,미래,확실",사실형,긍정,미래,확실
"＇황금 좀비＇를 처치하면 플레이 인원 수만큼 전리품을 제공하며, 전리품은 시나리오 코스튬, 파츠 티어1~3, 파츠 티어5 등으로 구성된 상품 7종 중 무작위로 지급된다.","사실형,긍정,미래,확실",사실형,긍정,미래,확실
"국립합창단과 음악 꿈나무 안소명, 양제인 등이 우리나라의 밝은 미래와 희망, 새해 모두의 염원이 이루어지길 기원하는 마음을 노래하는 대합창 ＇희(希)＇로 대미를 장식할 예정이다.","사실형,긍정,미래,확실",사실형,긍정,미래,확실
