user_prompt,output,유형,극성,시제,확실성
반대로 지역구 당선 의원에 비해 전국적 지지율이 높은 정의당은 새 제도가 도입되면 의석수가 더 늘어날 것으로 예상됩니다.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
극지방의 빙하가 녹아 뱃길이 열리면 물류 운송시간이 크게 단축된다는 것입니다.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
하지만 모두가 총을 소유할 수 있게 된 시대에는 총을 활용한 전술적 혁신이 더 중요해질 겁니다.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
그리고 어드레스 라인과 퍼터 헤드가 정확하게 직각을 이루도록 돕고 스트로크를 할 때 퍼터 페이스가 열리거나 닫히는 단점도 고칠 수 있습니다.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
"이 애매하고 어정쩡한 둘 사이, 도대체 어떻게 설명해야 할까?","대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
어떻게 지속가능한 비즈니스 구조를 만들까?,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
차라리 아무것도 안 하는게 돈을 버는 것일 수 있다는 생각을 갖도록 해야 하지 않을까.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
그러나 비워서 만들어진 공간을 활용하는 것은 가능하지 않을까.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
"비트코인이 1,100만원을 돌파할 가능성은 높지만, 만약 돌파에 실패할 경우 시장에 단기 조정이 찾아올 수 있습니다.","대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
양손 개입을 최대한 줄이는 만큼 컨디션에 상관없이 언제나 원하는 방향으로 공을 날릴 수 있습니다.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
연동형 비례제로 소수 정당이 난립하면 복잡하고 다양한 이해관계가 생기기 때문에 갈등이 더 심해지고 정국이 불안정해질 수도 있습니다.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
이러면 ＇스타트 라인＇에 대한 믿음과 자신감을 얻을 수 있습니다.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
4차 산업혁명 관련 기업도 더욱 각광을 받을 테고요.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
그래도 쓰러지지 않고 버티고 있으니 하늘에서 아버지가 기특하다고 생각하실 것 같아요.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
재택근무가 확산될 것이고 의료 시스템과 원격진료에 대한 논의도 진지하게 시작되겠지요.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
그리고 향후 10년의 승리는 기술을 마스터한 상태에서 전술적 혁신을 어떻게 구축할 수 있느냐에 달려 있을 겁니다.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
그들을 어떻게 알아보고 걸러낼까.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
삼성이 이미 반도체를 포함해 450조원 규모의 투자 계획을 발표한 만큼 EUV 장비도 적극적으로 구매할 것으로 보이기 때문입니다.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
＂저는 곧 깨어나서 이 모든 것이 꿈이라는 걸 알게 되겠죠.＂,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
코로나19 등으로 인해 미국 경제가 나빠지면 연준이 금리를 내릴 거라는 예상입니다.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
"지난해 10월과 11월에도 강한 매물 구간으로 작용했던 자리이기에 1,000만원대까지 조정이 나올 수도 있습니다.","대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
이번 사태로 스포트라이트를 받은 의료장비나 바이오 기업은 새로운 기회를 얻을 것 같습니다.,"대화형,긍정,미래,불확실",대화형,긍정,미래,불확실
