user_prompt,output,유형,극성,시제,확실성
김창한 신임 대표는 현재 펍지의 경영을 총괄하고 있으며 선임 절차를 거친 후 크래프톤과 펍지의 대표를 겸직할 예정이다.,"예측형,긍정,미래,확실",예측형,긍정,미래,확실
"기상청에 따르면 이날 오후 경기 동부와 강원 내륙·산지, 전라 동부 내륙, 경북 북부 내륙, 경상 서부 내륙에서는 소나기가 5∼30㎜가량 내릴 것으로 보인다.","예측형,긍정,미래,확실",예측형,긍정,미래,확실
이를 위해 오는 7월 1일 ＇위믹스3.0＇의 테스트넷을 공개하고 위믹스 월렛과 거버넌스 디앱을 온보딩한다.,"예측형,긍정,미래,확실",예측형,긍정,미래,확실
이 경우 트럼프 대통령이 대중국 정책 성과로 자화자찬했던 1단계 합의안에 대한 평가가 달라지면서 미 선거 표심에 영향을 줄 것이다.,"예측형,긍정,미래,확실",예측형,긍정,미래,확실
"그 밖에도 아직까지 마스크를 벗지 못하는 실내, 실외 모두 자연스러운 피부 표현이 가능한 제품, 마스크에도 화장이 묻어나지 않거나, 두꺼운 피부 표현 대신 모공과 잡티, 붉은 기 등 피부 결점을 자연스럽게 커버할 수 있는 ＇파데프리＇ 트렌드도 꾸준히 이어질 것으로 보인다.","예측형,긍정,미래,확실",예측형,긍정,미래,확실
양사는 이번 협약을 통해 스튜디오산타클로스의 소속 아티스트와 보유 콘텐츠에 NFT 기술을 적용해 블록체인 기반 엔터테인먼트 분야 생태계 확장을 공동 추진할 계획이다.,"예측형,긍정,미래,확실",예측형,긍정,미래,확실
이 같은 상황에서 첼시전 반칙 퇴장과 3경기 출전정지 징계로 전력에서 이탈했던 손흥민의 복귀 후 몇 경기가 올 시즌 토트넘의 향배를 가를 전망이다.,"예측형,긍정,미래,확실",예측형,긍정,미래,확실
"대전시는 시범사업으로 선정된 2개 마을의 조성 과정을 지속적으로 점검하고, 컨설팅 제공 등을 통해 사업이 안정적으로 추진될 수 있게 지원할 예정이다.","예측형,긍정,미래,확실",예측형,긍정,미래,확실
넥슨의 핵심 IP인 ＇메이플스토리＇를 활용해 블록체인과 NFT의 가치를 실현하겠다는 계획이다.,"예측형,긍정,미래,확실",예측형,긍정,미래,확실
카카오게임즈(대표 조계현)의 기대작 ＇우마무스메 프리티더비＇가 20일 오전 11시 출격한다.,"예측형,긍정,미래,확실",예측형,긍정,미래,확실
