user_prompt,output,유형,극성,시제,확실성
구글도 1090억달러(2018년 말)에서 1197억달러(2019년 말)로 현금을 높여 놨습니다.,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
"임팩트에 대한 중요성도 강조했는데요, 임팩트 구간에서 양팔을 쭉 펴주는 느낌으로 스윙하면 프로 골퍼처럼 멋지게 디봇이 만들어질 것이라고 설명했습니다.","대화형,긍정,과거,확실",대화형,긍정,과거,확실
＂판타지를 접목한 장르도 신선했고 무엇보다 안 해본 역할에 대한 반가움이 가장 컸죠.＂,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
총이 없었던 시대에는 총을 소유한 이들이 전쟁에서 압도적 우위를 차지할 수 있었습니다.,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
대부분 프로젝트가 탄생했던 2017년과 2018년을 돌이켜보면 이해할 수 있습니다.,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
꽃구경이 그립다고요 그래서 서비스로 신구대식물원에 환하게 피어난 꽃 사진을 한 컷 끼워놨습니다.,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
"1명 or 1개 모회사가 지분 100% 보유한 곳은 절반 이상69개 중 36개 프로젝트(전체의 52%)는 1명, 혹은 1개 모회사가 지분 전체를 갖고 있었습니다.","대화형,긍정,과거,확실",대화형,긍정,과거,확실
＂영화에 대해 주저하지 않고 말씀해주신 한국 관객 덕분에 이 자리에 설 수 있었다.＂,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
지난해 페어웨이 적중률 77.83%에 그린 적중률은 75.457%로 12위에 올랐습니다.,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
비슷한 시기 지구상엔 인류의 조상인 호모 사피엔스가 처음 등장했습니다.,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
"3만년 전, 상상하기도 힘들 만큼 오래전 이야기죠.","대화형,긍정,과거,확실",대화형,긍정,과거,확실
지난 시즌 미국프로골프(PGA) 투어에서 우승 없이 가장 꾸준한 활약을 펼치며 신인상을 차지한 임성재(22·CJ대한통운)는 올 시즌에는 더욱 뜨거운 샷 감각을 선보이며 드디어 꿈에 그리던 우승까지 차지했습니다.,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
"최근 50년 동안 평균 기온이 약 3도 올랐고, 최근엔 남극 기온이 사상 최고인 영상 20도를 기록했습니다.","대화형,긍정,과거,확실",대화형,긍정,과거,확실
전일 상승 폭 상위 코인에는 최근 보이지 않던 마이너 알트코인들이 이름을 올렸습니다.,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
드디어 ＇한국판 양적완화＇가 시작됐습니다.,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
훅을 인수해서 OTT 사업 역량을 내재화한 덕분에 쿠팡플레이를 선보이고 단기간에 ＇국산 OTT 톱3＇ 반열에 오를 수 있었다고.,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
다만 전체 주식 수는 1개부터 총 200만개까지 다양했습니다.,"대화형,긍정,과거,확실",대화형,긍정,과거,확실
