user_prompt,output,유형,극성,시제,확실성
그에 대한 결과를 보면 아미그달린이 위암 치료의 중요한 수단으로 사용될 수 있는 가능성을 보여준다.,"예측형,긍정,현재,확실",예측형,긍정,현재,확실
한편 이토 앞에서는 애교가 넘치지만 반전의 싸움 실력을 지닌 이토의 여자친구 ＇쿄코＇ 역은 ＇은혼＇으로 유명한 하시모토 칸나가 맡아 ＇만찢녀＇의 귀여움과 반전의 코미디 연기를 선보인다.,"예측형,긍정,현재,확실",예측형,긍정,현재,확실
해외 자회사의 국내 모회사 배당금을 비과세하면 국내로 자금이 유입되는 효과가 클 것으로 기대된다.,"예측형,긍정,현재,확실",예측형,긍정,현재,확실
"오버다임의 강철수 대표는 사우디아라비아 행 선박은 2020년 2월 중으로 진행이 될 것으로 예정되어 있다고 말해, 오버다임의 제품들을 실은 선적들이 계속해서 우리나라 항만에서 떠날 것으로 보여 진다.","예측형,긍정,현재,확실",예측형,긍정,현재,확실
이미 관련 기업과 협업해 2025년께 김포공항에서 UAM 시범운항을 계획하고 있다.,"예측형,긍정,현재,확실",예측형,긍정,현재,확실
정부가 비트코인 등에 투자하는 국민이 늘어난 세태를 반영해 2년 뒤 가구별 가상자산 현황을 공표하는 방안을 추진한다.,"예측형,긍정,현재,확실",예측형,긍정,현재,확실
"한국천문연구원에 따르면 이날 오전 각지의 해돋이 시간은 서울 7시 47분, 인천 7시 48분, 강릉 7시 40분, 서산 7시 47분, 포항 7시 33분, 군산 7시 43분, 울산 7시 32분, 목포 7시 42분, 제주 7시 38분, 해남 7시 40분이다.","예측형,긍정,현재,확실",예측형,긍정,현재,확실
"기상청에 따르면 5일까지 기온은 평년보다 3∼4도 높겠으나, 내륙을 중심으로 낮과 밤의 기온 차가 10∼12도로 클 것으로 보인다.","예측형,긍정,현재,확실",예측형,긍정,현재,확실
여성 연수원장 발탁을 통해 신보는 열정과 역량을 갖춘 창의적 여성인재 육성에 적극 나서겠다는 방침이다.,"예측형,긍정,현재,확실",예측형,긍정,현재,확실
지난해 말 세계 최초로 출시한 ＇하이퍼스케일 AI 컴퓨팅(HAC)＇을 앞세워 공공기관 수요는 물론 민간 시장에서도 아마존웹서비스(AWS)와 진검 승부를 예고하고 있다.,"예측형,긍정,현재,확실",예측형,긍정,현재,확실
미츠하시를 혼낼 수 있는 유일한 여자 캐릭터 ＇리코＇ 역을 ＇도쿄 트라이브＇의 액션 히로인 세이노 나나가 맡아 스턴트 뺨치는 리얼한 액션을 선보인다.,"예측형,긍정,현재,확실",예측형,긍정,현재,확실
"20일 출시되는 일본산 게임 ＇우마무스메 프리티더비＇와 23일 한국산 ＇미르M＇, 24일 중국산 ＇천애명월도M＇이 주인공이다.","예측형,긍정,현재,확실",예측형,긍정,현재,확실
보유세 부담을 적정 수준으로 환원하기 위한 세율 인하 등의 구체적인 보유세 개편 방안은 7월 중 확정할 예정이다.,"예측형,긍정,현재,확실",예측형,긍정,현재,확실
