user_prompt,output,유형,극성,시제,확실성
우리나라는 1997년부터 대상국에 포함됐다.,"사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
"국회예산정책처는 신종 코로나 영향으로 중국 국내총생산(GDP)이 1% 감소하는 수준의 충격이 발생하면 그 여파로 한국의 대중국 수출은 0.5%, GDP는 0.2% 줄어들 것으로 추정했다.","사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
다수의 이용자 간 상호 작용을 위한 ＇소셜 기능＇도 강화됐다.,"사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
그러면서 ＂비트코인의 바닥 예측은 사실상 불가능한 수준＂이라면서 ＂세계 각국의 긴축적 통화정책에 따라 가상화폐는 대표적인 투기 자산으로 인식되고 있고 이는 글로벌 가상화폐 시장의 유동성 고갈로 이어지고 있다＂고 덧붙였다.,"사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
심지어 잠잘 때도 책을 베고 잤다.,"사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
기존 ＇디아블로＇ 시리즈와 달리 MMORPG 장르인 점은 확실히 다른 경험을 선사하기도 했다.,"사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
"또한, A씨가 자신이 근무한 편의점에서 5일 동안 최소 15만원 이상의 돈을 들여 상품을 구매한 점을 들어 ＂편의점에서 사고 싶은 물건이 있으면 본인 돈으로 구매했던 A씨가 5900원짜리 반반족발세트만 유독 횡령할 것으로는 보이지 않는다＂고 말했다.","사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
"＂반드시 극복해낼 거고 보여드릴 거다. 당시의 내게는 최선이었지만 그 진심과는 별개로 분명 부족했다. 어떤 평가든 겸허하게 받아들일 것＂이라면서도 ＂(내 부족함과 상관없이) 좋은 배우들, 스태프들과 함께해 고마웠고 행복했다＂며 따뜻한 진심을 전하기도 했다.","사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
"CJ, GS 등 6개 투자사로부터 시리즈A 단계에서 330억원의 투자금도 유치했다.","사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
이 회사는 투자 용도로 비트코인을 빌렸으나 최근 가격 폭락에 따른 추가 증거금 납입 요구를 충족하지 못해 대부업체에 제공했던 담보 자산을 강제 청산당한 것으로 알려졌다.,"사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
＂100% 안전하고 큰 회사여서 위험률이 제로(0)라는 말을 듣고 투자했다＂는 내용 등이다.,"사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
아울러 검찰은 블록체인에 기록된 전자지갑 내 암호화폐 거래 내역 분석을 통해 테라폼랩스의 자금흐름을 추적할 계획이며 이를 위해 최근 대검찰청에서 가상자산 관련 전문가를 파견받은 것으로 알려졌다.,"사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
그 결과 자세를 바꿔 가며 일한 그룹에서 등과 목 통증이 절반 이상 줄고 컨디션도 호전되었다.,"사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
단숨에 현지 애플 앱스토어 매출 1위를 달성했으며 센서타워이 집계한 지난해 4월 전세계 모바일게임 매출 순위에서 일본 단일 시장 성과만으로 3위에 올랐다.,"사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
"이들은 이날 오전 신년회 참석에 앞서 현충원 참배에 나섰지만, 시간대가 달라 마주치지는 않은 것으로 알려졌다.","사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
20억원 넘는 적자를 낸 셈이다.,"사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
시공간의 흐름을 내포했다고 한다.,"사실형,긍정,과거,불확실",사실형,긍정,과거,불확실
