user_prompt,output,유형,극성,시제,확실성
나머지 6억5000만원은 수취인이 불명확해 경찰의 계좌추적 결과를 참고하기로 했다.,"사실형,긍정,과거,확실",사실형,긍정,과거,확실
한편 조합은 지난 2017년 시공사로 선정된 대우건설과 설계변경에 따른 공사비 증액 문제로 갈등을 빚다가 지난해 12월 시공사 계약을 해지했다.,"사실형,긍정,과거,확실",사실형,긍정,과거,확실
박물관에서는 80대 할머니 한 명이 지팡이를 짚은 채 둘러보고 있었다.,"사실형,긍정,과거,확실",사실형,긍정,과거,확실
1월 초 2100~2200엔 사이에서 움직이다 1월 중순 1900엔대까지 빠진 뒤 상승세로 전환해 6월 초 3200엔대까지 뛰었다.,"사실형,긍정,과거,확실",사실형,긍정,과거,확실
그는 ＂국가를 대표해서 시나리오를 쓰는 건 아니지만 이건 한국에 가장 첫 오스카상＂이라고 덧붙였다.,"사실형,긍정,과거,확실",사실형,긍정,과거,확실
"영조의 차녀 화순옹주는 월성위 김한신, 1720~1758과 결혼했다.","사실형,긍정,과거,확실",사실형,긍정,과거,확실
"1976년 설립된 금성정밀이 모태인 LIG넥스원이 국가기간산업인 방위산업 분야에서 본격적으로 뛰어든 시기는 1990년으로, 전투 및 함정용 레이더 개발업체로 1991년 저고도 탐지레이더와 1996년 최첨단 중어뢰를 개발했다.","사실형,긍정,과거,확실",사실형,긍정,과거,확실
"2019시즌 프로축구 K리그1 우승팀인 전북 현대가 공격과 수비의 핵심 베테랑 선수인 이동국(41), 이용(34)과 각각 재계약했다.","사실형,긍정,과거,확실",사실형,긍정,과거,확실
황응남이 정병 30여 명을 거느리고 주요 길목에 숨어 있다가 적선이 가까이 이르자 한꺼번에 활을 쐈다.,"사실형,긍정,과거,확실",사실형,긍정,과거,확실
박상춘 인천해양경찰서장은 16일 언론 브리핑을 통해 ＂국방부 발표 등에 근거해 피격 공무원의 월북 등 여러 가능성을 열어 두고 현장조사와 국제사법공조 등 종합적인 수사를 진행했으나 (이씨의) 월북 의도를 인정할 만한 증거는 발견하지 못했다＂면서 ＂1년 6개월의 수사기간 동안 마음의 아픔을 감내했을 유족들에게 위로의 말씀을 드린다＂고 밝혔다.,"사실형,긍정,과거,확실",사실형,긍정,과거,확실
"현대에는 교통의 요지나 상업이 발달한 지역에 인구가 집중되지만, 농업이 중심이었던 과거에는 땅이 기름진 곳에 사람이 몰려들었다.","사실형,긍정,과거,확실",사실형,긍정,과거,확실
"3일 소속사 하이스토리 디앤씨는 ＂송중기와 매니지먼트 계약을 체결, 새로운 출발을 알리게 되었다＂고 밝혔다.","사실형,긍정,과거,확실",사실형,긍정,과거,확실
"7명의 등장인물, 어인족 마을, 스시집, 심해 등의 모습을 담은 아크워크도 소개했다.","사실형,긍정,과거,확실",사실형,긍정,과거,확실
