user_prompt,유형,극성,시제,확실성
이 곳에서는 재무개선 추진과 이행 실적을 종합 관리할 예정이다.,사실형,긍정,미래,불확실
"납세자는 심의위원회에서 의견을 표명할 수 있고 과세 전 적부심사와 이의신청, 심판청구 등을 통해 이의를 제기할 수 있다.",추론형,긍정,미래,불확실
한국의 경우 1분기 중 출시 예정이다.,사실형,긍정,미래,불확실
넥슨(대표 이정헌)이 오는 6월 8일 개막하는 게임 지식공유 행사 ＇넥슨개발자콘퍼런스(NDC)＇를 통해 신작 MMORPG ＇프라시아 전기＇의 존재감 알리기에 나선다.,사실형,긍정,미래,확실
올 하반기 브라질 알칸타라 발사 센터(Alcantara Launch Center)에서 ＇한빛-TLV(시험발사체)＇ 최초 시험 발사를 앞두고 있다.,사실형,긍정,미래,확실
"SG골프 홈필드의 경우는 아름다운, 하이원 등 국내 61개 골프장과 중국 6개 골프장을 직접 플레이해 볼 수 있다.",사실형,긍정,미래,불확실
조정 기일인 오는 24일까지 양측이 합의하지 않으면 정식 재판에 돌입하게 된다.,사실형,긍정,미래,불확실
국내 첫 출시는 크라우드 펀딩 플래폼 와디즈를 통해 이뤄지며 펀딩 오픈 시기는 오는 9일 오후 2시다.,사실형,긍정,미래,확실
"물론 인구 감소와 함께 국가의 국내총생산(GDP)은 줄어들겠지만, 개인의 행복과 풍요를 결정짓는 1인당 GDP는 상승할 수 있다.",추론형,긍정,미래,불확실
＇기생충＇의 아카데미 시상식 최종 후보 포함 여부는 오는 13일 발표된다.,사실형,긍정,미래,확실
넷마블은 이번 ＇스프링캠프 이벤트＇ 이후 3월 중 ＇마구마구＇의 2020 정규 시즌 맞이 업데이트를 진행할 예정이다.,사실형,긍정,미래,불확실
과기정통부는 발사 예정일인 21일 오전에 누리호 발사관리위원회를 개최해 누리호에 추진제를 충전할지 여부를 결정한다.,사실형,긍정,미래,확실
"달마고도는 네 곳의 코스로 연결되어 있어서 여행 일정에 따라 단 하루 만에 전 코스를 완주할 수도 있고, 그중 한두 곳만 걸을 수도 있다.",사실형,긍정,미래,불확실
보로노이 주가가 상장 이후 좋은 흐름을 보인다면 향후 이어질 바이오 IPO 기류가 달라질 수 있다는 전망도 나온다.,사실형,긍정,미래,불확실
다만 고가 포장재를 사용하는 고급 탁주는 앞으로 용기비용이 과세표준에서 제외되면서 세부담도 줄어들게 된다.,사실형,긍정,미래,확실
오히려 호흡기 손상을 일으킬 수 있어 주의해야 한다.,추론형,긍정,미래,확실
"게임빌(대표 송병준)은 모바일 야구게임 ＇게임빌프로야구 슈퍼스타즈＇에 신규 트레이너를 추가하고 트레이너 확정 획득 시스템 도입, 출석 보상 개편 등의 업데이트를 실시한다.",사실형,긍정,미래,확실
그라비티는 사전예약 소식을 ＇라그나로크 택틱스＇ 해시태그와 함께 본인의 SNS에 전체 공개로 공유한 이용자 중 추첨을 통해 총 50명에게 구글 기프트 카드도 선물한다.,사실형,긍정,미래,확실
"그가 게임빌, 위메이드를 거쳐 해외 게임 회사인 갈라게임즈에 지난 4월 합류했다.",사실형,긍정,미래,확실
코엑스에서는 1일 2회 특별방역소독을 실시할 계획이다.,사실형,긍정,미래,확실
"이를 통해 ＇파랑＇, ＇보라＇, ＇빨간 쥐＇를 소환한 후 사냥하면 최대 ＇축복받은 신년반지＇, ＇펜릴의 뿔피리＇ 등의 고급 아이템을 받을 수 있다.",추론형,긍정,미래,확실
"LDL 콜레스테롤은 동맥경화와 혈전을 유발하는데, 아보카도의 불포화 지방이 이런 위험을 낮추어 주는 것이다.",사실형,긍정,미래,확실
위메이드(대표 장현국)가 신작 MMORPG ＇미르M: 뱅가드 앤 배가본드＇의 장기 흥행을 노린다.,추론형,긍정,미래,확실
컴투스는 국내 시장 출시를 통해 ＇크로니클＇의 게임성을 입증하고 하반기에는 C2X 플랫폼에 얹어 글로벌 시장도 공략한다.,사실형,긍정,미래,확실
"＇황금 좀비＇를 처치하면 플레이 인원 수만큼 전리품을 제공하며, 전리품은 시나리오 코스튬, 파츠 티어1~3, 파츠 티어5 등으로 구성된 상품 7종 중 무작위로 지급된다.",사실형,긍정,미래,확실
장기적으로 퇴직연금 수익률을 끌어올리기 위해 실적배당형 등 다양한 투자자산으로 자금이 유입될 전망이다.,사실형,긍정,미래,불확실
"국립합창단과 음악 꿈나무 안소명, 양제인 등이 우리나라의 밝은 미래와 희망, 새해 모두의 염원이 이루어지길 기원하는 마음을 노래하는 대합창 ＇희(希)＇로 대미를 장식할 예정이다.",사실형,긍정,미래,확실
"코리안심포니 예술감독 정치용이 지휘를 맡고 KBS교향악단, 피아니스트 임동혁, 첼리스트 양성원, 바이올리니스트 조진주, 소프라노 조수미, 테너 김우경, 국립합창단 등이 출연한다.",사실형,긍정,미래,확실
이렇게 눈이 안 오면 우리는 언젠가 ＇눈의 서사(敍事)＇를 잃어버릴지도 모른다.,추론형,긍정,미래,불확실
"＇미스터리 선물상자＇를 사용하면 ＇유니크 용병 소환서＇, ＇장비봉인 주문서＇, ＇왕대박 돈주머니＇, ＇100% 강화카드＇ 등의 아이템을 무작위로 획득할 수 있다.",사실형,긍정,미래,불확실
자영업 다이어트를 해야 한다.,추론형,긍정,미래,확실
지난 2001년부터 시작되어 21년간의 개발 기간을 거친 자주국방의 핵심전력무기 차세대 한국형 전투기 KF-X가 오는 4월 둘째 주에 그 멋진 모습을 전세계와 국민들에게 선보일 예정이다.,사실형,긍정,미래,확실
삼성전자는 지속적인 소프트웨어 업데이트를 통해 이 같은 문제를 보완한다는 계획이다.,사실형,긍정,미래,확실
실제 시장에 판매되는 1종 인증 제품은 PM 저감 능력이 80% 이상이 되어야만 판매할 수 있다.,추론형,긍정,미래,확실
하지만 디아블로는 전통적으로 이용자가 직접 캐릭터를 조작해 악당을 물리치는 ＇타격감＇과 ＇손맛＇을 중시한 만큼 기존과 같이 수동 전투만을 지원한다는 계획이다.,예측형,긍정,미래,불확실
