user_prompt,output,유형,극성,시제,확실성
그리고 호랑이 배를 갈라 남편의 뼈와 살을 끌어내어 장사를 치러주니 부인이 감격하여 눈물을 그칠 줄 몰랐다.,"사실형,부정,과거,불확실",사실형,부정,과거,불확실
"이런 조치에서 비롯된 ＇풍선효과＇로 홍콩 보험사들이 자산가가 많으면서 통화가치가 불안한 한국을 겨냥, 본토 영업 공백을 메우려 했다는 해석이 나온다.","사실형,부정,과거,불확실",사실형,부정,과거,불확실
중생의 복과 절의 중창을 위한 행사였으니 당연히 서산대사진법군고를 맞은 마을에서는 시주도 아끼지 않았을 것이다.,"사실형,부정,과거,불확실",사실형,부정,과거,불확실
봉은사가 기대감을 품던 반면 한전과 현대자동차그룹은 때 아닌 행정소송에 난처함을 감추지 못했다.,"사실형,부정,과거,불확실",사실형,부정,과거,불확실
"25세 되던 선조 1년(1567) 진사시에 합격하지만 공부가 충분하지 못했는지, 대과에는 끝내 급제하지 못했다.","사실형,부정,과거,불확실",사실형,부정,과거,불확실
삼성디스플레이 직원들에 대해선 영업비밀을 빼내려는 의도가 있다고 단정지을 수 없다고 봤다.,"사실형,부정,과거,불확실",사실형,부정,과거,불확실
"하지만 이 자전거를 탄 아이가 우회전 구간에서 차 앞을 막고 ＂아저씨, 왜 따라다녀요?＂라고 물었고 차 운전자가 ＂우회전해야 해 나와＂라고 답했지만 자전거로 차 앞을 막고 비키지 않았다.","사실형,부정,과거,불확실",사실형,부정,과거,불확실
"여기서 아들은 선조가 총애한 의안군인지, 아니면 그 이전에 태어났으나 어린 시절 사망한 왕자인지는 파악되지 않는다.","사실형,부정,과거,불확실",사실형,부정,과거,불확실
전날 국내 증시에서 삼성전자는 8거래일 만에 반등하며 ＇6만전자＇ 붕괴를 피하는 듯했다.,"사실형,부정,과거,불확실",사실형,부정,과거,불확실
그런 그의 집에 도둑이 들 뻔했다.,"사실형,부정,과거,불확실",사실형,부정,과거,불확실
