user_prompt,유형,극성,시제,확실성
"바다의 물결은 동해 앞바다 0.5∼1.5ｍ, 서해 앞바다 0.5∼1.0ｍ, 남해 앞바다 0.5∼1.0ｍ로, 안쪽 먼바다(해안선에서 약 200㎞ 내의 먼바다)의 파고는 동해·서해·남해 0.5∼1.5ｍ로 예상된다.",예측형,긍정,현재,불확실
하지만 디아블로는 전통적으로 이용자가 직접 캐릭터를 조작해 악당을 물리치는 ＇타격감＇과 ＇손맛＇을 중시한 만큼 기존과 같이 수동 전투만을 지원한다는 계획이다.,예측형,긍정,미래,불확실
숏폼 영상 자동 제작 솔루션 기업 비디오몬스터가 롱폼 영상 편집 애플리케이션 ＇비브(Viiv)＇를 다음달 출시한다.,예측형,긍정,미래,불확실
"울릉도, 독도는 동해 중부 해상에 위치한 약한 기압골의 영향을 받아 밤에 비 또는 눈이 조금 오겠다.",예측형,긍정,미래,불확실
증권거래세는 현재 0.23%지만 내년에는 0.2%로 낮아질 전망이다.,예측형,긍정,미래,불확실
그에 대한 결과를 보면 아미그달린이 위암 치료의 중요한 수단으로 사용될 수 있는 가능성을 보여준다.,예측형,긍정,현재,확실
김창한 신임 대표는 현재 펍지의 경영을 총괄하고 있으며 선임 절차를 거친 후 크래프톤과 펍지의 대표를 겸직할 예정이다.,예측형,긍정,미래,확실
한편 이토 앞에서는 애교가 넘치지만 반전의 싸움 실력을 지닌 이토의 여자친구 ＇쿄코＇ 역은 ＇은혼＇으로 유명한 하시모토 칸나가 맡아 ＇만찢녀＇의 귀여움과 반전의 코미디 연기를 선보인다.,예측형,긍정,현재,확실
"현장 심사 및 시연의 전 과정은 온라인을 통해 실시간 중계되며, 행사장에 방문한 관람객들은 게임 콘텐츠를 직접 체험할 수 있을 예정이다.",예측형,긍정,미래,불확실
블리자드는 ＇오버워치2＇ 출시와 함께 신규 돌격 영웅 ＇정커퀸＇도 선보일 예정이다.,예측형,긍정,미래,불확실
"팬데믹으로 인한 여러 한계와 위기 속에서 억눌렸던 일상 회복에 대한 욕구가 강력히 표출되면서, 2022년은 그동안 단절됐던 일상 생활이 해제(UNLOCK)되고, 고정관념과 경계를 여는(UNLOCK) 새로운 한 해가 될 것으로 전망한 것이다.",예측형,긍정,미래,불확실
가격에 따라 차이는 있지만 감정평가 방식으로 상속·증여세가 부과되면 수억 원가량 세금 상승이 불가피할 전망이다.,예측형,긍정,미래,불확실
2020년 한국경제연구원은 2025년 국내 4차 산업혁명 분야의 인력 부족률이 28.3%에 달할 것으로 예상했다.,예측형,긍정,과거,불확실
예상 강수량은 5~40mm로 소나기의 특성상 좁은 지역에서 강한 비가 내리는 곳이 있을 전망이다.,예측형,긍정,미래,불확실
