user_prompt,output,유형,극성,시제,확실성
투자가 성사됐더라면 올해 토론토 블루제이스로 이적한 류현진 선수가 LA 다저스에 잔류해 프랜차이즈 스타로 자리매김했을지도 모른다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
내부에서 중량감 있는 인사를 찾지 못하면 외부 낙하산이 올 수도 있다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
이 극을 본 난 뒤 관객들은 대부분 비슷한 감상을 하지 않을까 싶다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
"즉, 3% 정도 지지를 받은 정당은 득표만큼 의석을 가져가지 못하는 반면, 오히려 지지율이 미미한 정당이 의석을 가져가는 현상이 발생할 수 있다.","추론형,미정,미래,불확실",추론형,미정,미래,불확실
공군 대형 수송기 도입 및 중소형 수송기 국내 개발에 KUH-1 기동헬기와 LAH 소형무장헬기 기술제휴 이상의 통크고 파격적인 제안을 통해 에어버스와 우리나라 항공우주방위산업기업들과 상호 경제적인 전략적 파트너쉽으로 이어지기를 기대해본다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
이 세균이 충치나 잇몸 염증을 유발해 치주질환을 일으킬 수도 있다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
"기준금리 격차가 거의 없거나 미국의 기준금리가 더 높은 상태로 역전하는 상황이 발생할 경우, 외국인 투자자의 자금 유출과 함께 원화 가치가 더 하락할 수 있다.","추론형,미정,미래,불확실",추론형,미정,미래,불확실
해외서는 한국 게임에 대한 규제 명분으로 활용할 수 있다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
항암치료 중 면역력을 높여 암세포를 사멸하도록 돕는 한의학 면역치료를 병행하면 암의 전이와 재발 확률을 낮출 수 있다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
팬덤이 계속 유지가 될 수 있도록 단순한 등기 권리증 역할을 넘어 NFT 소유자들을 위한 혜택을 만들어가는 것도 중요하다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
지난 12일 교섭에서 결렬을 한 번 초래한 요인이기도 하고 자칫 이번 총파업과 유사한 노동계 투쟁의 불씨가 될 수 있다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
＂대사이자 경험이 많은 멘토로 말씀을 드리자면 실패 없는 창조와 혁신은 없다는 것입니다.＂,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
문제는 ＇영재를 범재로 만들기＇ 교육의 폐해가 저출산으로 더욱 심화될 수 있다는 것이다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
최대 8인의 전투부대를 구성해 지옥성물함 공격대 우두머리에 도전할 수 있으며 150명으로 구성된 클랜을 통해 대규모 PvP 콘텐츠인 ＇투쟁의 굴레＇를 즐길수도 있다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
알고리즘 스테이블 코인의 특성상 가격 고정이 무너졌다가 다시 복구하는 흐름은 언제든 생겨날 수 있다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
이상문학상의 올해 작품집이 무사히 출간될지는 미지수다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
"해탈이 뭐라고, 그 순간을 경험하겠다며 평생을 수행하는 사람들도 수두룩한 세상에 6시간 걸으며 그 희열과 공허함을 느낄 수 있다면, 일생에 그보다 더 좋은 선물이 또 있을까 싶다.","추론형,미정,미래,불확실",추론형,미정,미래,불확실
"현재는 125명의 대표자 학생들이 활동하고 있으며, 300명까지 그 숫자가 점차 늘어날 것이다.","추론형,미정,미래,불확실",추론형,미정,미래,불확실
발표는 설 연휴(1월 24일~27일) 전후가 될 수 있다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
가뜩이나 줄어든 게임산업에 대한 투자도 더 줄어들 수 있다.,"추론형,미정,미래,불확실",추론형,미정,미래,불확실
