user_prompt,output,유형,극성,시제,확실성
마이크로소프트는 해당 게임의 글로벌 발매와 동시에 엑스박스 게임패스로도 이용할 수 있게 제공할 예정이다.,"사실형,미정,미래,확실",사실형,미정,미래,확실
이제 관심은 ＇기생충＇이 영화 산업 중심지 북미에서 비영어 작품으로 최고의 흥행 기록을 세울지다.,"사실형,미정,미래,확실",사실형,미정,미래,확실
이들 두 ESL 프로 투어 외에도 아마추어 선수 등을 위한 주간 ESL 오픈컵(ESL Open Cups)이 진행될 예정이다.,"사실형,미정,미래,확실",사실형,미정,미래,확실
HDMI 포트를 통해 대형 TV에 연결해 내장된 20가지의 네오지오 오리지널 게임을 즐길 수 있으며 추가 게임도 주기적으로 공개될 예정이다.,"사실형,미정,미래,확실",사실형,미정,미래,확실
칠판에 적기 전에 수첩으로 먼저 확인또한 대표자 학생 중에 몇몇은 곧 수첩을 하나씩 지급받을 예정이다.,"사실형,미정,미래,확실",사실형,미정,미래,확실
지난 12월 스팀(Steam)에 얼리 엑세스(Early Access) 출시된 이후 스팀이 선정한 ＇2019 최고 출시작＇으로 선정된 바 있으며 올해 1분기 내에 정식 출시할 예정이다.,"사실형,미정,미래,확실",사실형,미정,미래,확실
"한국형 장거리공대지유도탄은 적의 대공위협지역에서 벗어난 거리에서 전략 표적을 정밀 공격할 수 있는 순항유도탄으로 독일산 타우러스 대비 낮은 도입 단가와 유지 비용, 더 높은 정밀도, 항재밍 능력 등 주요 성능은 동급 이상으로 항공 플랫폼 탑재 효율성 및 생존성 극대화를 위해 소형화, 경량화, 항공연동화, 스텔스 기능까지 더해질 예정이다.","사실형,미정,미래,확실",사실형,미정,미래,확실
여기에다가 외부 추천위원들의 추천·동의 절차를 신설하겠다는 것이다.,"사실형,미정,미래,확실",사실형,미정,미래,확실
새로운 ＇ESL 프로 투어 스타크래프트2＇는 기존 ＇스타크래프트2 월드 챔피언십 시리즈＇를 계승해 네 개 이상의 대륙에서 펼쳐질 예정이다.,"사실형,미정,미래,확실",사실형,미정,미래,확실
"LCH 개발사업은 해외 도입 기체들뿐인 국내 민관 헬기를 대체 목적의 소형 민수헬기를 개발사업으로, LAH와 같은 플랫폼을 기반으로 승객 운송, 탐색구조, 응급의료, 치안유지, 화재진압 등에 운용할 수 있는 다목적 기체로 개발 중이며, 2018년 초도비행을 거쳐 2021년 개발 완료 예정이다.","사실형,미정,미래,확실",사실형,미정,미래,확실
"국내 민간항공사 가운데, 현재까지는 대한항공만 B787-9 10대를 도입하여 운용 중이며, 추가 주문한 10대 외에 B787-10도 20대 도입 예정으로 국제선 장거리노선의 주력 기종으로 투입할 예정이다.","사실형,미정,미래,확실",사실형,미정,미래,확실
반도체 업체 넥스트칩이 내달 1일 코스닥 상장을 위해 16일부터 이틀 간 기관투자자 대상 수요예측을 진행한다.,"사실형,미정,미래,확실",사실형,미정,미래,확실
"5월에는 인천-프랑크푸르트 노선을 5월28일부터 주 4회에서 주 5회로 증편하고, 인천-런던 노선 역시 5월30일부터 주 2회에서 주 3회로 증편한다.","사실형,미정,미래,확실",사실형,미정,미래,확실
대검의 청구에 따라 법무부가 감찰위원회와 징계위원회를 거쳐 최종 징계 수위를 결정하게 된다.,"사실형,미정,미래,확실",사실형,미정,미래,확실
"올해는 동승 가능 지역과 시간 확장 외에도, 축적되는 데이터를 분석해 승객에게 최적화된 맞춤형 탑승 형태를 추천하는 기술을 고도화할 예정이다.","사실형,미정,미래,확실",사실형,미정,미래,확실
"제주항공은 지난 5월부터 인천~괌 노선 운항횟수를 주 2회에서 주 4회로 늘렸고, 오는 6월24일부터는 부산~싱가포르 노선 운항을 재개한다.","사실형,미정,미래,확실",사실형,미정,미래,확실
"LAH는 에어버스헬리콥터의 H155B1 플랫폼을 기반으로 최신 항전장비와 무장사격통제장비를 탑재하고, 조종 편의성, 생존성 등이 강화되어 통합작전에 최적화된 기체로 2019년 상공적인 초도비행을 거쳐 2022년까지 개발 완료 예정이다.","사실형,미정,미래,확실",사실형,미정,미래,확실
이를 위해 공군은 2022년까지 기존 C-130의 성능개량과 함께 장거리 공수능력 확보를 위해 보잉 C-17과 에어버스 A400M 같은 대형 기종을 도입할 예정이다.,"사실형,미정,미래,확실",사실형,미정,미래,확실
"7월에는 인천-바르셀로나 노선, 인천-이스탄불 노선 운항에 나선다.","사실형,미정,미래,확실",사실형,미정,미래,확실
