user_prompt,output,유형,극성,시제,확실성
연내 중국 내 주요 도시의 랜드마크를 중심으로 5호점까지 늘릴 계획이다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
모집 기간은 다음달 5일까지며 인터뷰 및 초빙 설명회는 다음달 10일 서울에서 진행될 예정이다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
"부트캠프에서는 게임 개발, 디자인, 비즈니스 개발, 유저 확보 및 수익화, 게임 테스팅 워크샵, 리더십 트레이닝 등 다양한 세션이 진행될 예정이다.","사실형,미정,미래,불확실",사실형,미정,미래,불확실
게임의 스토리를 진행할수록 각 캐릭터에게 영감을 준 실존 경주마의 특성과 성격을 잘 고증하는 세계관도 확인할 수 있다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
"미국이 0.75%포인트 금리 인상에 나설 경우, 미국의 기준금리 상단이 1.75%가 돼 한국의 기준금리와 같아지게 된다.","사실형,미정,미래,불확실",사실형,미정,미래,불확실
국내 게임 시장의 최고 인기 장르 중 하나인 MMORPG에 등장하는 캐릭터는 어떻게 개발될까.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
이 기술이 구현되면 배드민턴을 배우는 사람들이 제대로 셔틀콕을 쳤는지 스스로 점검이 가능한 시스템이 만들어진다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
장인은 노점을 개설해 다른 이용자에게 아이템을 판매하고 재화를 획득할 수도 있다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
"둘째, 콘택트렌즈도 너무 오래 쓰면 안구건조증의 원인이 될 수 있다.","사실형,미정,미래,불확실",사실형,미정,미래,불확실
전장에 배치된 구조물을 파괴해 유불리를 전환할 수도 있다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
"병원에 전달된 후원금은 방호복, 마스크, 손세정제 등의 부족으로 어려움을 겪고 있는 현장 의료진들의 방역 물품을 지원하는 데 우선적으로 쓰이며 환자 치료를 위한 의료 기기 구비 및 확산 방지를 위해 노력하는 의료진 활동 등에 사용될 예정이다.","사실형,미정,미래,불확실",사실형,미정,미래,불확실
"＇휴식＇, ＇외출＇, ＇양호실＇을 선택하거나 육성 과정에서 적성의 ＇스킬＇을 획득할 수도 있다.","사실형,미정,미래,불확실",사실형,미정,미래,불확실
"또한, KC-330은 오는 14일 개최되는 한미 안보협의회의(ROK-US Security Consultative Meeting, SCM) 참석하는 우리 대표단(단장 서욱 국방장관)을 태우고 태평양을 건너갈 예정이다.","사실형,미정,미래,불확실",사실형,미정,미래,불확실
＂＇디지털 미디어렙(광고매체 판매 대행사)＇을 넘어 ＇넘버원 디지털 마케팅 플랫폼 기업＇으로 도약할 것이다.＂,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
치료 시기를 놓치면 증상이 점차 악화할뿐더러 심한 경우 실명으로 이어질 수 있다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
이미 농축산물 가격이 고공행진을 벌이는 상황이라 정부 대책이 얼마나 효과를 거둘지는 미지수다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
한 호남권 과학고 교장은 ＂5~6년 전까지는 입학생 100명 중 10명가량이 매우 뛰어난 실력을 보였다＂며 ＂하지만 최근에는 그 비율이 100명 중 5명 정도로 줄어든 것 같다＂고 전했다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
＇양식장＇에서 스시집에서 사용할 물고기를 기를 수 있고 미션 수행 실패 시 잃은 물고기를 어느 정도 회복할 수 있다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
이날 경북 내륙지방을 중심으로 낮 기온이 오르면서 후텁지근한 날씨가 이어지겠다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
특히 장인 랭킹을 통해 다른 이들이 만들 수 없는 아이템을 제작하거나 해당 서버에서만 가능한 아이템 제작을 맡을 수도 있다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
FORT는 총 10억개가 공급되며 보유자는 재단의 거버넌스 투표에 참여할 수 있다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
유치가 썩어 충치가 되면 신경이 이어진 영구치 씨앗에 전이될 수 있다.,"사실형,미정,미래,불확실",사실형,미정,미래,불확실
