user_prompt,output,유형,극성,시제,확실성
가톨릭 역사상 이런 경우는 없었다.,"추론형,부정,과거,확실",추론형,부정,과거,확실
편의점 CU가 연세대학교 ＇연세우유＇와 손잡고 지난 2월 선보인 ＇연세 생크림빵＇ 3종의 기세도 예사롭지 않다.,"추론형,부정,과거,확실",추론형,부정,과거,확실
이에 따라 모바일페이 업체는 더이상 운용수익을 창출하기 어려워졌다.,"추론형,부정,과거,확실",추론형,부정,과거,확실
왕비의 차림은 화려하지 않았다.,"추론형,부정,과거,확실",추론형,부정,과거,확실
반도체 업계의 높은 인력 수요에도 불구하고 특성화고에선 그동안 반도체 관련 교육이 깊이 있게 이뤄지지 않았다.,"추론형,부정,과거,확실",추론형,부정,과거,확실
내가 종일토록 애걸하였으나 도무지 들어주지 않고 기어코 며칠 안으로 마련해 바치라고 하였으므로 나는 몹시 분함을 견딜 수 없었다,"추론형,부정,과거,확실",추론형,부정,과거,확실
나아가 지배층인 유자를 도태시켜야 한다는 혁명적 발언도 서슴지 않았다.,"추론형,부정,과거,확실",추론형,부정,과거,확실
＇기생충＇이 미국 아카데미 시상식 4개 부문을 휩쓴 뒤 배우들은 들뜬 표정을 감추지 못했다.,"추론형,부정,과거,확실",추론형,부정,과거,확실
"북부와 요동, 요서 일대의 고조선 영향권에 있기는 했지만 부족국가 수준을 벗어나지 못하고 있었다.","추론형,부정,과거,확실",추론형,부정,과거,확실
그런데 그 닭의 목숨이 끊어지지 않았던 모양이다.,"추론형,부정,과거,확실",추론형,부정,과거,확실
"이들의 눈물겨운 도전이 없었다면 수리온 헬리콥터도, KFX 전투기도, 누리호 발사체도 모두 세상에 나오지 못했을 것이다.","추론형,부정,과거,확실",추론형,부정,과거,확실
"사람을 꿰뚫어보는 것 같은 총명한 눈을 지녔지만, 아름답다는 인상을 주지는 않았다.","추론형,부정,과거,확실",추론형,부정,과거,확실
좋은 식품을 개발하고도 생산을 하지 못해 상품화에 실패하는 사례가 적지 않기 때문이다.,"추론형,부정,과거,확실",추론형,부정,과거,확실
＂거의 5~6개월 긴 시간 동안 두 계절을 배우들과 함께 구룡포에서 보냈어요. 그곳이 그립기도 해요. 모든 배우가 너무 많은 위로를 받은 작품이었습니다. 또다시 동백꽃 같은 드라마가 얼른 만들어지길 바라면서 저도 열심히 하겠습니다＂라는 수상 소감에 공감하지 않을 팬들은 없었을 것이다.,"추론형,부정,과거,확실",추론형,부정,과거,확실
"＂콜레라는 가장 숫자가 많은 가난한 흑인들에게는 더 잔인했지만, 실제로는 피부색이나 가문을 전혀 고려하지 않았다.＂","추론형,부정,과거,확실",추론형,부정,과거,확실
과거 우리 선배들의 성공방식은 더 이상 통용되기 어렵게 됐다.,"추론형,부정,과거,확실",추론형,부정,과거,확실
