user_prompt,output,유형,극성,시제,확실성
하지만 디아블로는 전통적으로 이용자가 직접 캐릭터를 조작해 악당을 물리치는 ＇타격감＇과 ＇손맛＇을 중시한 만큼 기존과 같이 수동 전투만을 지원한다는 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
숏폼 영상 자동 제작 솔루션 기업 비디오몬스터가 롱폼 영상 편집 애플리케이션 ＇비브(Viiv)＇를 다음달 출시한다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"울릉도, 독도는 동해 중부 해상에 위치한 약한 기압골의 영향을 받아 밤에 비 또는 눈이 조금 오겠다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
증권거래세는 현재 0.23%지만 내년에는 0.2%로 낮아질 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"현장 심사 및 시연의 전 과정은 온라인을 통해 실시간 중계되며, 행사장에 방문한 관람객들은 게임 콘텐츠를 직접 체험할 수 있을 예정이다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
블리자드는 ＇오버워치2＇ 출시와 함께 신규 돌격 영웅 ＇정커퀸＇도 선보일 예정이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"팬데믹으로 인한 여러 한계와 위기 속에서 억눌렸던 일상 회복에 대한 욕구가 강력히 표출되면서, 2022년은 그동안 단절됐던 일상 생활이 해제(UNLOCK)되고, 고정관념과 경계를 여는(UNLOCK) 새로운 한 해가 될 것으로 전망한 것이다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
가격에 따라 차이는 있지만 감정평가 방식으로 상속·증여세가 부과되면 수억 원가량 세금 상승이 불가피할 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
예상 강수량은 5~40mm로 소나기의 특성상 좁은 지역에서 강한 비가 내리는 곳이 있을 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
전 목사와 범투본 관계자 등 2명의 구속 여부는 이날 오후 늦게 결정될 것으로 예상된다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
규제심판관은 100여 명의 민간 전문가로 구성하고 건별로 전문 분야에 맞춰 배정하는 방식이 될 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"중국의 봉쇄 조치가 점진적으로 완화되기 시작하고, 미국은 드라이빙 시즌에 진입하면서 휴가철 원유 수요 급증이 예상된다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
먼저 중소기업과 중견기업에 29조1000억원 규모의 경영자금을 추가로 지원해 기업의 자금난에 숨통을 틔울 예정이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
사용자 확대를 기반으로 비디오몬스터는 글로벌 진출을 가속할 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"늦은 밤부터는 수도권과 강원 영서, 충남 북서해안에도 가끔 비가 내리겠다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
또 하나·우리은행 직원 각 2명씩 총 4명이 근무하며 영업시간은 오전 10시부터 오후 3시까지로 향후 상황에 따라 탄력적으로 운영할 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"공인인증서의 독점적 지위가 사라짐에 따라 앞으로는 간편 비밀번호, 생체인증 등 다양한 인증수단이 활발하게 쓰일 것으로 예상된다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
다양한 유동성 확대정책은 중국 증시에 호재로 작용할 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
코로나19 비상사태가 장기화돼 오는 11월 대통령 선거에서 트럼프 대통령 당선 가능성이 낮아지면 중국은 내수 부진을 이유로 의무 수입을 이행하지 않을 가능성이 있다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"2030년까지 생산 설비에 3200억원 이상을 투자해 지능화 공정 시스템을 구축하고, 가상·증강현실부터 자동화·인공지능(AI) 기술 등이 적용된 미래형 조선소를 만들겠다는 복안이다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
자율주행로봇의 실증 특례에서도 현장 요원 없이 원격 모니터링이 가능하도록 기준 완화를 추진할 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
15일 채권 금리가 전반적으로 오르며 금융채 5년물 금리를 기준으로 삼는 주담대 고정금리도 상승세를 이어갈 것으로 보인다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
사채 발행 한도를 확대하기 위해 한국전력공사법 개정도 올 하반기에 추진할 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
합수단은 국세청에서 확보한 탈세 관련자료를 분석해 탈세혐의를 입증할 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
전역 후 첫 공식 무대가 될 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
콘진원은 게임개발 이외 인력이 부족한 중소게임사를 돕고자 게임 전담 PM을 배정해 해외진출 경험이 없더라도 해외에 게임을 출시할 수 있도록 전략 컨설팅을 기본적으로 제공할 예정이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"낮부터 저녁 사이에는 강원 남부내륙 산지와 충남 남동내륙, 충북, 전라동부, 경북권 내륙, 경남 북서내륙에 소나기가 내리고, 제주도에는 저녁부터 비가 내릴 것으로 전망된다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
우크라이나 전쟁에 따른 EU의 LNG선 수요가 늘어난 점도 국내 조선사에 긍정적인 영향을 미칠 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"이날 아침최저기온은 14~20도, 낮최고기온은 25~32도로 예상된다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"팔지 않는 기업, 여기에 동조해 사지 않는 소비자는 계속 늘어날 전망이다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
산업계가 이번 총파업으로 본 피해는 2조원에 달해 복구하는 데에만 한참 걸릴 것으로 관측된다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
실제 게임 매출 기반의 스테이킹 모델을 통해 이용자 참여와 합리적 보상 제공이 선순환되는 생태계를 구축하고 글로벌 사업 역량과 게임 운영 노하우를 더해 건강한 토큰 이코노미를 설계해나간다는 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
경영계는 동결을 주장할 것으로 보인다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
비가 내리는 지역에서는 돌풍과 함께 천둥·번개가 치고 일부 지역에선 우박이 떨어지는 곳이 있을 예정이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"2017년 이후에 태어나는 영재들은 지금으로부터 10년 후인 2032년부터 영재교·과학고에 입학하고, 2035년엔 이공계 대학생이 되고, 그 이후로는 한국 첨단 기술 분야를 이끌어나가는 인재가 될 것이다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
이를 정상인의 유전체와 비교하면 어떤 유전자 돌연변이로 인해 암이 발생하는지 파악할 수 있을 뿐만 아니라 최대 35년 뒤 암 발생 여부를 예측하는 일도 가능해 환자 맞춤형 치료의 새로운 길이 열릴 것으로 전망된다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
토요일인 4일은 전국이 대체로 맑겠으나 중부 지방은 오전에 구름이 많겠다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
이를 통해 영업이익을 흑자 전환시켜 2020년 1135억원의 목표를 달성할 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
비디오몬스터는 사용자가 만든 영상의 객체정보와 위치정보를 활용해 다양한 사업을 전개할 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
특히 이번 개선안에는 윤석열 대통령이 강조한 첨단산업 인재 양성과 관련한 규제 완화 방안도 포함되면서 향후 반도체 등 신산업에서 경쟁력을 확보하기 위한 정부의 규제 개혁 행보가 더욱 확대될 것으로 전망된다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"하지만 2.75%가 점도표상 미국의 연말 예상 기준금리인 3.4%보다 낮기 때문에, 한은도 결국 한 차례 정도는 빅스텝을 밟지 않겠냐는 관측이다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
중국 내 코로나19 사태가 진정 국면에 접어들었다는 진단이 나오면서 중국 증시 상승세에는 더욱 힘이 실릴 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
서울 종로구에 거주하는 회사원 A씨는 8월에 폐암 수술을 받을 예정이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
이란의 민항기 오발 격추로 사태가 엉뚱하게 진정됐지만 핵무기를 만들고 있는 이란은 결코 가만히 있지 않을 것이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
넥슨와 EA아시아스튜디오는 7일 중순 여름 대규모 업데이트를 통해 비슷한 수준의 클럽과 조건에서 실력으로만 겨루는 신규 모드 ＇어쎈틱 챌린지＇를 추가할 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"수미감자(20㎏)는 지난해 6월 1만9000원 선에서 도매가격이 형성됐지만, 올해는 3만~3만3000원에 형성돼 최대 70% 넘게 가격이 뛸 거라는 전망이다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
김창룡 경찰청장은 경찰 내부망에 ＂결코 직에 연연하지 않고 역사에 당당한 청장이 되겠다＂고 밝혀 갈등이 한층 격화할 것으로 전망된다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"타다금지법으로 불리는 여객운수법 개정안의 국회 상임위원회 통과를 주도한 박홍근 을지로위원장을 비롯해 제윤경 책임의원, 우원식 이학영 등 민주당 을지로위 소속 의원들이 자리할 예정이다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
7월 1일 ＇위믹스3.0＇ 테스트넷과 함께 ＇위믹스 플레이＇를 선보이고 3분기 중 ＇위믹스 디파이＇와 ＇나일＇을 론칭할 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"아울러 향후 채굴 난이도 상승을 고려할 때, 채굴 수입에서 채굴 비용이 차지하는 비중이 점점 더 커질 전망이다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
지금까지는 일부 업체에 한해 생산 차질이 빚어졌지만 앞으로는 자동차업계 전반으로 피해가 확산할 것이라는 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
＇던전앤파이터 모바일＇이 실질적인 최고 기대작이라는 점에서 중국 시장에서의 성과에 관심이 쏠릴 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
감염 예방에 만전을 기울인다면 중국 대표팀의 참가는 부산시 입장에서도 긍정적인 효과를 기대할 수 있다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"동해 중부 먼바다는 매우 강한 바람이 불고 물결이 매우 높게 일겠고, 동해안은 너울로 인한 물결이 해안도로나 방파제를 넘는 곳이 있겠다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
이와 관련해 정부는 알뜰교통카드 이용자도 현 39만명에서 연말까지 45만명으로 늘릴 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
＇이브닝플러스＇는 서울 여의도중앙점과 강남중앙점 2개점의 운영을 15일부터 시작해 8월 말에는 가산디지털점을 추가할 예정이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
나아가 ＇부수자산＇이라는 개념을 도입해 NFT처럼 소위 그레이존에 위치한 가상자산에 대해서도 공시를 요구할 계획이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
이용자들과 함께 게임에 대한 보다 상세한 내용을 나누고 직접 게임을 선보일 예정이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
두 곳 모두 비은행 부문 강화 필요성을 강조하고 있는 가운데 인수·합병(M&A)에 대한 최고경영자(CEO) 의지도 어느 때보다 강하다는 점에서 정면 승부가 벌어질 것으로 예상된다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
다만 공원을 만들 재원 마련에 서울시와 용산구가 이견을 보여 실제로 공원이 조성되기까지 상당한 시일이 걸릴 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
이 때문에 롯데카드처럼 사모투자펀드(PEF)와 함께 일부 지분을 투자하는 형태로 접근하거나 별도 사모펀드를 조성해 주요 지분을 갖는 방식을 취할 것으로 보인다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
방탄소년단(BTS)에 이어 올해 ＇기생충＇까지 연타석 홈런을 치면서 한국어 콘텐츠를 향한 러브콜이 이어질 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"오브젝트는 온·오프라인에서 팬 활동이나 미션을 달성하면 획득할 수 있고, 구매도 가능할 전망이다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
코로나 19의 습격이 있기 전에 발행된 보고서임을 감안하면 앞으로의 성장세는 더욱 가파를 것으로 예상한다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
15일 날씨는 전국이 대체로 맑겠으나 충남 서해안과 전북 서해안은 가끔 구름이 많을 전망이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
"＇클로젯＇은 코로나19 확산 우려 속에도 100만 돌파를 앞두고 있으나 12일 개봉하는, 장유정 감독의 ＇정직한 후보＇와의 대결이 불가피해 보인다.","예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
향후 개발이 완료되면 상주인구만 20만명을 넘어설 것으로 예상된다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
벌써 세계 증시가 3000조원 이상 떨어져 1차 충격을 준 다음 이제 9일 이후 실제 공장 가동이 가능하냐에 따라 실물경제에 피해가 드러날 것이다.,"예측형,긍정,미래,불확실",예측형,긍정,미래,불확실
