index,user_prompt,유형,유형_예측,극성,극성_예측,시제,시제_예측,확실성,확실성_예측
0,이러한 선거제도는 정당 득표율과 의석수가 비례하지 않고 사표(死票)가 발생하는 등 민심을 제대로 반영하지 못한다는 지적이 나왔습니다.,대화형,추론형,긍정,부정,과거,과거,불확실,확실
1,그들은 왜 그렇게 국적을 지키고 싶었을까.,대화형,대화형,긍정,미정,과거,과거,불확실,불확실
2,문 대통령이 사전에도 없는 애매한 ＇고용 연장＇을 꺼내 말하고 싶었던 것은 이게 아니었을까.,대화형,추론형,긍정,미정,과거,과거,불확실,불확실
3,두 사람의 공기 작업은 어떻게 시작됐을까.,대화형,대화형,긍정,미정,과거,과거,불확실,불확실
4,웨지의 그루브가 한 달이면 닳아 없어질 정도로 많은 시간을 투자했다죠.,대화형,추론형,긍정,미정,과거,과거,불확실,불확실
5,이제 ＇쓰지 않는 김민정＇을 상상하기 어렵지만 첫 계시의 순간은 언제였을까.,대화형,대화형,긍정,미정,과거,과거,불확실,불확실
6,＂그때 제가 했던 수상 소감은 때늦은 게 아니었나 싶어요.＂,대화형,추론형,긍정,부정,과거,과거,불확실,불확실
7,2013년부터 2019년까지 401K 수익률은 연평균 9.49%나 된다네요.,대화형,사실형,긍정,미정,과거,과거,불확실,불확실
8,2008년 광우병 사태가 떠올랐다면 지나친 비약일까.,대화형,추론형,긍정,미정,과거,과거,불확실,불확실
9,두 동강이 나서 싸우고 있는 조국이 그렇게 소중했을까.,대화형,추론형,긍정,부정,과거,과거,불확실,불확실
10,궁금해진다 시인은 사직동을 포기하고 어디에 집을 얻었을까.,대화형,대화형,긍정,미정,과거,과거,불확실,불확실
11,"공공의 이익을 위해서 봉사하겠다는 선한 마음으로 나선 사람이 대부분일 테지만, 불행히도 도둑놈도 껴 있는 경우도 있을 터.",대화형,추론형,긍정,부정,과거,현재,불확실,불확실
12,지역구 일에서 벗어나기가 얼마나 어려우면 이런 가상의 주인공까지 등장했을까?,대화형,대화형,긍정,미정,과거,과거,불확실,불확실
13,조국은 그런 것일까.,대화형,대화형,긍정,미정,과거,현재,불확실,불확실
14,왜 초기 대응에 실패했나.,대화형,대화형,긍정,부정,과거,과거,불확실,불확실
15,특히 이 부회장이 지난해 구속돼 있는 동안 미국 인텔과 대만 TSMC는 공격적으로 EUV 장비 확보에 나선 것으로 알려졌기 때문입니다.,대화형,추론형,긍정,미정,과거,과거,불확실,불확실
44,"어제에 이어 프라이버시 대표 코인인 지코인(XZC)과 지캐시(ZEC)가 각각 36%, 8%로 상승 TOP 10에 이름을 올렸습니다.",대화형,사실형,긍정,미정,과거,과거,확실,확실
47,그래서인지 이번 CES 2020에서는 보다 많은 B2C 회사가 어떻게 하면 그런 기술들로 ＇앞으로 무엇을 할 수 있다＇를 넘어서서 ＇당장 무엇을 할 수 있다＇를 보여주려는 압박을 강하게 받고 있다는 사실을 확인할 수 있었습니다.,대화형,사실형,긍정,미정,과거,과거,확실,확실
4,대부분 프로젝트가 탄생했던 2017년과 2018년을 돌이켜보면 이해할 수 있습니다.,대화형,추론형,긍정,미정,과거,과거,확실,확실
55,"연금 선진국인 미국과 호주, 영국 등은 일찌감치 디폴트 옵션을 적용했죠.",대화형,사실형,긍정,미정,과거,과거,확실,확실
26,"우곡주를 사장시키고 아무 성과도 내지 못했다는 게 마음의 빚으로 남았고, 그 빚을 갚고자 ＇우곡생주＇를 개발했습니다.",대화형,사실형,긍정,부정,과거,과거,확실,확실
64,그런가 하면 3월 19일 종가 기준 코스피는 1500선 밑으로 떨어졌죠.,대화형,사실형,긍정,미정,과거,과거,확실,확실
73,마니아층이 처음 블록체인에 반한 이유였습니다.,대화형,사실형,긍정,미정,과거,과거,확실,확실
10,"3만년 전, 상상하기도 힘들 만큼 오래전 이야기죠.",대화형,추론형,긍정,미정,과거,과거,확실,불확실
40,여야 정치권은 그런 우려를 감안해 봉쇄조항을 마련해 군소정당 난립을 어렵게 했습니다.,대화형,사실형,긍정,미정,과거,과거,확실,확실
107,＂장벽은 이미 부서지고 있었거든요.＂,대화형,사실형,긍정,미정,과거,과거,확실,확실
18,아마추어 골퍼들이 몸통 스윙을 쉽게 익힐 수 있는 자신만의 비법도 공개했습니다.,대화형,사실형,긍정,미정,과거,과거,확실,확실
