user_prompt,output,유형,극성,시제,확실성
오히려 호흡기 손상을 일으킬 수 있어 주의해야 한다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
"이를 통해 ＇파랑＇, ＇보라＇, ＇빨간 쥐＇를 소환한 후 사냥하면 최대 ＇축복받은 신년반지＇, ＇펜릴의 뿔피리＇ 등의 고급 아이템을 받을 수 있다.","추론형,긍정,미래,확실",추론형,긍정,미래,확실
위메이드(대표 장현국)가 신작 MMORPG ＇미르M: 뱅가드 앤 배가본드＇의 장기 흥행을 노린다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
자영업 다이어트를 해야 한다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
실제 시장에 판매되는 1종 인증 제품은 PM 저감 능력이 80% 이상이 되어야만 판매할 수 있다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
이제는 대출을 받을 때 고객이 정보 조회에 동의하면 대출 은행이 고객의 다른 은행 금융 자산을 일괄 조회할 수 있다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
경복궁역에서 지하철로 30여분. 노량진에 도착해 도보 15분이면 이곳을 찾을 수 있다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
"모든 신청 팀은 기획안 작성법, 개발 이론, 저작권 이해 등 게임 콘텐츠 개발에 필수적인 내용으로 구성된 온라인 강의를 수강해야 한다.","추론형,긍정,미래,확실",추론형,긍정,미래,확실
높아진 보안 수준으로 겪는 불편함은 결국 고객 이탈로 이어질 것이다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
정체된 시내 도로를 반복하기보다는 주기적인 고속도로 주행이 이뤄진다면 DPF를 더욱 오래 유지할 수 있다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
임추위는 경영 승계 절차 개시일 이후 40일 이내에 최종 후보자 추천 절차를 마쳐야 한다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
전통시장과 지역사회의 소상공인 자영업자에게 지불하고 이를 국가와 지방자치단체가 보전해주면 된다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
저축은행은 시중은행(1개월)과 달리 3개월 이내 만기가 도래하는 유동성 부채(예금 등)에 대해 유동성 자산(대출 등)을 100% 이상 보유해야 한다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
불효자에게도 속절없이 상속해줘야 하는 현행 제도는 수정돼야 마땅하다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
"도쿄행 티켓을 손에 쥐려면 조별리그에서 최소 2위를 기록하고 이후 8강, 4강을 거쳐 3위(일본 4강 진출 시 4위까지) 안에 들어야 한다.","추론형,긍정,미래,확실",추론형,긍정,미래,확실
다만 증권가에서는 하반기부터 엔터주 조정이 끝나고 본격적인 실적 성장이 이어질 것으로 전망하는 분위기다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
필요하다면 정부가 나서 과감하게 지역 거점 평생교육기관으로 키워도 된다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
사태가 장기화하면 한국 경제의 마지막 보루로 여겼던 삼성 반도체도 그만큼 힘들어진다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
더 많은 고민을 통해 사람들이 ＇돈 벌 생각 때문에 돈을 잃는＇ 사례가 줄어들게 해야 한다.,"추론형,긍정,미래,확실",추론형,긍정,미래,확실
