user_prompt,output,유형,극성,시제,확실성
"건강의 핵심 키워드가 심장에서 뇌로 옮겨오고, 인간 의식의 기전을 밝히려는 뇌과학이 인류과학의 정점으로 주목받는 때이다.","사실형,미정,현재,확실",사실형,미정,현재,확실
3년 만에 다보스를 찾은 정의선 현대차 수석부회장은 기술혁신과 비용절감을 통해 수소사회를 앞당기겠다는 방안을 구상 중이다.,"사실형,미정,현재,확실",사실형,미정,현재,확실
출품을 희망하는 직업계고 학생들은 5인 이내의 팀을 구성해 온라인으로 참가 신청할 수 있다.,"사실형,미정,현재,확실",사실형,미정,현재,확실
＇교외 경시대회＇로 분류돼 이를 쓸 경우 오히려 불이익을 받을 수 있다.,"사실형,미정,현재,확실",사실형,미정,현재,확실
경찰은 A씨 폭로 이후 김씨가 주점 관계자들을 동원해 A씨를 압박했다는 의혹도 조사 중이다.,"사실형,미정,현재,확실",사실형,미정,현재,확실
경찰은 목격자 등을 상대로 사고 경위를 조사 중이다.,"사실형,미정,현재,확실",사실형,미정,현재,확실
"해상에서 펼쳐지는 함선간의 전투를 그린 모바일 어드벤처 RPG ＇가디언 프로젝트＇와 일본 유명 게임을 소재로 제작된 여성향 게임 ＇검, 시간을 긋다＇, 방치형 모바일 RPG ＇방치학개론(가칭)＇을 상반기에 출시한다는 계획이다.","사실형,미정,현재,확실",사실형,미정,현재,확실
특히 논란이 큰 것은 어떤 경우를 ＇대폭적인 업무 증가＇로 볼 수 있는지다.,"사실형,미정,현재,확실",사실형,미정,현재,확실
"참고로 미국의 차세대 군용 헬기 개발은 각 체급별 플랫폼을 기반으로 공격, 정찰, 수송, 의무후송, 소해, 탐색구조 등 단일 플랫폼으로 모든 임무가 가능한 기종으로 개발 계획을 진행 중이다.","사실형,미정,현재,확실",사실형,미정,현재,확실
때마침 미국과 중국 간 2단계 무역 협상이 진행 중이다.,"사실형,미정,현재,확실",사실형,미정,현재,확실
현재 제품 사진을 등록하면 템플릿이 매칭되도록 하는 인공지능(AI) 자동 추천 솔루션 개발 중이다.,"사실형,미정,현재,확실",사실형,미정,현재,확실
최근 노동정책과 판결의 빠른 변화로 기업 입장에서는 슬기롭게 대처할 수 있는 방안을 고민 중이다.,"사실형,미정,현재,확실",사실형,미정,현재,확실
"＇월드 오브 드래곤네스트＇는 오는 8일 말레이시아, 싱가포르, 인도네시아, 필리핀, 태국 등 5개 국가에 동시 출시될 예정이며 감마니아를 통해 대만 지역 출시도 준비 중이다.","사실형,미정,현재,확실",사실형,미정,현재,확실
경찰은 A씨가 남긴 메모 및 주변인 진술 등을 토대로 구체적 사건 경위를 파악 중이다.,"사실형,미정,현재,확실",사실형,미정,현재,확실
＇기생충＇은 각본상 외에도 오스카 5개 부문에 후보로 이름을 올렸으며 현재(한국시간 오전 11시) 시상식이 진행 중이다.,"사실형,미정,현재,확실",사실형,미정,현재,확실
"기능성 뿐 아니라 심미성도 고루 갖추고 있는 디자인 패널이라는 평가 속에 기존 건축외장재와는 달리 기술 특허와 디자인 특허를 출원한 상황이며, 현재 국제 특허 출원도 준비 중이다.","사실형,미정,현재,확실",사실형,미정,현재,확실
"핵심적인 추진과제로 민간사업 부문 경유차 퇴출 유도, 시민과 함께 ＇경유차 안 사고 안타기＇ 운동 전개, 경유차 감축을 위한 제도개선 정책을 과감하게 추진한다는 계획이다.","사실형,미정,현재,확실",사실형,미정,현재,확실
e스포츠적인 측면을 강화해 리그에 참여하지 않는 이용자들도 함께 즐길 수 있는 구조를 만든다는 계획이다.,"사실형,미정,현재,확실",사실형,미정,현재,확실
