user_prompt,output,유형,극성,시제,확실성
이 곳에서는 재무개선 추진과 이행 실적을 종합 관리할 예정이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
한국의 경우 1분기 중 출시 예정이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
"SG골프 홈필드의 경우는 아름다운, 하이원 등 국내 61개 골프장과 중국 6개 골프장을 직접 플레이해 볼 수 있다.","사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
조정 기일인 오는 24일까지 양측이 합의하지 않으면 정식 재판에 돌입하게 된다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
넷마블은 이번 ＇스프링캠프 이벤트＇ 이후 3월 중 ＇마구마구＇의 2020 정규 시즌 맞이 업데이트를 진행할 예정이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
"달마고도는 네 곳의 코스로 연결되어 있어서 여행 일정에 따라 단 하루 만에 전 코스를 완주할 수도 있고, 그중 한두 곳만 걸을 수도 있다.","사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
보로노이 주가가 상장 이후 좋은 흐름을 보인다면 향후 이어질 바이오 IPO 기류가 달라질 수 있다는 전망도 나온다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
장기적으로 퇴직연금 수익률을 끌어올리기 위해 실적배당형 등 다양한 투자자산으로 자금이 유입될 전망이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
"＇미스터리 선물상자＇를 사용하면 ＇유니크 용병 소환서＇, ＇장비봉인 주문서＇, ＇왕대박 돈주머니＇, ＇100% 강화카드＇ 등의 아이템을 무작위로 획득할 수 있다.","사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
"또 새로운 스토리와 지역, 던전, 신규 보스를 지속 추가하며 콘텐츠를 늘려갈 예정이다.","사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
큰 행사가 있으면 임금은 정복인 곤룡포를 입고 옥을 늘어뜨린 면류관을 쓴다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
"하이에어가 도입 운용 중인 프랑스 ATR의 ATR72-500이며, 현재 보유 중인 2대 외에 올해 4대를 추가로 도입하고, 이후 매년 2대씩 도입하여 2025년에는 16대까지 늘려 운영할 계획이다.","사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
"경찰은 문제의 CCTV들과 대표 이사 휴대전화 등을 압수해 어떤 목적으로 CCTV를 설치했는지, 녹화 영상이 따로 저장되거나 유포됐는지 등을 수사할 방침이다.","사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
중고시장에서 고가에 팔리고 있는 그의 과거 앨범도 재발매할 계획이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
＇이브닝플러스＇는 오후 4시까지는 대면창구와 디지털라운지를 동시 운영하며 이후부터 오후 8시까지는 디지털라운지 디지털데스크 창구를 통해 은행 업무를 볼 수 있다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
이런 변화는 손해율 안정화를 통한 수익성 개선과 더불어 장기보장성보험 비중 확대를 통한 성장성도 높일 것으로 기대되고 있다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
한국에서 열리는 건 이번이 처음으로 부산 대회에는 87개국에서 선수 1200여 명과 각국 탁구협회 관계자 등 3000여 명이 참가할 예정이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
"구글 보이스를 탑재해 음성 명령으로 음악을 재생하고, 뉴스나 날씨 등을 실행할 수 있다.","사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
정부는 이번에 분양가 상한제 개편안도 함께 공개할 예정이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
정부는 항공우주청 설립을 약속하는 등 산업을 키우기 위해 전폭적인 지원을 할 계획이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
5G 이용 고객이 대상 제휴처에서 T멤버십 카드 또는 쿠폰을 제시하면 할인받을 수 있다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
또한 불확실한 경영환경에서 지속성장을 확보하기 위해 변화에 선제적으로 대응하기 위한 리스크 대응체계를 구축하는데 역량을 기울일 방침이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
한전은 이 같은 특별심의위 결정을 이행하기 위해 고성 비상대책위원회와 협의해 조속히 현장부스를 마련하고 피해주민들과 개별 합의를 진행할 방침이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
우승에 성공한다면 83승 고지를 밟으며 PGA투어 최다승 기록을 갈아치우게 된다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
"＇대한민국 게임사가 여는 새로운 세상＇을 주제로 컴투스홀딩스, 엑스엘게임즈 등 블록체인, NFT 관련 사업을 진행 중인 다양한 기업의 강연이 진행된다.","사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
U-23 대표팀은 지난달 28일 말레이시아로 출국했으며 5일 태국 현지에 도착해 적응할 예정이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
매 시즌 새로운 나라에서 개최되며 결투장에서 일정 등급 이상이 되면 자동으로 참여할 수 있다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
"휘닉스평창 이용 고객은 리프트권 최대 76%, 스노우파크 최대 52% 할인 쿠폰을 활용할 수 있고, 여행 고객은 SK렌터카 제주 1일 무료, 내륙 75% 할인 쿠폰을 유용하게 쓸 수 있다.","사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
올해부터 ＇꼬마빌딩＇으로 불리는 비주거용 부동산에 대한 상속·증여세가 큰 폭으로 오를 전망이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
2020년 새해에는 소비자들이 한 플랫폼에서 여러 금융사 자산을 조회·관리할 수 있는 ＇통합 파이낸스(finance·금융)＇가 더욱 확산된다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
북미 배급사 네온은 상영관 수를 현재 1060개에서 이번 주말 2000개 이상으로 늘릴 예정이어서 ＇기생충＇은 외국어 영화로는 이례적인 흥행 수입을 올릴 것으로 보인다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
BNK금융은 지역 유니콘 기업 탄생에 초석이 될 ＇부·울·경 혁신 창업 생태계＇ 조성에도 앞장설 계획이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
"이번 기부금은 마스크 50만장을 포함해 대구·경북 지역의 코로나19 방역 및 예방, 확산 방지를 위한 방역물품 및 구호물품 지원에 사용될 예정이다.","사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
서비스는 오는 3월부터 시행 예정이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
이번 사전체험은 별도의 신청 없이 웹젠 회원이라면 누구나 참여할 수 있다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
올 2월부터 도입된 온라인 신청 방식을 보다 확대해 청년의 접근성을 지속적으로 개선해나갈 계획이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
다만 대중교통 카드 소득공제 확대는 조세특례제한법 개정이 필요해 국회 동의를 거쳐야 한다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
그러나 정부 발표에도 불구하고 한동안 산업 현장의 혼란은 불가피할 것으로 전망된다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
악의 연합 잔.악.무.도.와 탐험가 연맹으로 이야기(Story) 모드를 모두 완료한 플레이어는 영웅(Heroic) 모드를 잠금 해제할 수 있다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
조계종은 올해부터 세종시 한국불교체험관과 위례신도시 도심포교당을 중점 추진할 계획이다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
전투 시작 시 세 가지 마검 중 하나를 선택해 스킬 효과와 능력치를 변화시킬 수 있다.,"사실형,긍정,미래,불확실",사실형,긍정,미래,불확실
