user_prompt,output,유형,극성,시제,확실성
한국인 경제력의 25분의 1에 불과한 북한 주민이 정말 인구절벽에 선 대한민국의 마지막 희망인 것일까.,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
＂5G와 인공지능(AI)의 진화가 가져올 미래는 어떤 모습일까.＂,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
패스트푸드 시장은 앞으로 어떻게 될까.,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
불안과 위험스러운 환경이 인간의 뇌로 하여금 편리함과 안전을 선택하게 만드는 미래 사회는 과연 어떠한 모습일까.,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
남자와 여자는 친구가 될 수 있을까?,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
＂성동구청과 성동경찰서를 옮겨 왕십리광장과 왕십리역 일대에 비즈니스 타운을 조성할 계획입니다.＂,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
"＇시베리아 역병＇의 사례처럼 우리가 이미 알고 있던 감염병, 혹은 신종 감염병이 동물을 매개로, 혹은 직접 접촉을 통해 전 세계로 확산할 수 있습니다.","대화형,미정,미래,불확실",대화형,미정,미래,불확실
토론토 블루제이스 1선발로 2020년 메이저리그를 시작하는 류현진(33)의 올해 성적표는 어떨까.,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
＂임신부가 감염되면 임신 경과에 어떤 영향을 미치나?＂,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
그런데 과연 푸드테크협의회에서 대기업과 스타트업 간 협력이 가능할까.,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
어린애들까지 1인당 10만원씩 나눠 쓴다고 과연 얼마나 소비 진작 효과가 생길까.,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
한일 관광산업이 직면한 문제의 해법을 한일 협력에서 찾아보는 것은 어떨까.,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
산속에서 호환을 피할 수는 없을까.,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
언제쯤 코로나19 관련 기사를 쓰지 않아도 되는 날이 올까요.,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
＂확진된 영아 옷과 침구류는 재사용이 가능한가?＂,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
＂확진된 산모와 신생아가 같은 방에서 지내도 되나?＂,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
PC나 스마트폰이 버벅일 때 어떻게 하는가?,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
"＂네트워크를 업그레이드할 때마다, 새 시즌이 될 때마다 고객에게도 또 다른 서비스를 드려야 하지 않을까요?＂","대화형,미정,미래,불확실",대화형,미정,미래,불확실
＂확진 임신부가 태아나 신생아에게 코로나를 전염시킬 수 있나?＂,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
"또 빙하나 동토가 녹은 물이 토양을 오염시키거나, 강과 호수 등 식수원에 유입될 가능성도 있습니다.","대화형,미정,미래,불확실",대화형,미정,미래,불확실
"하지만, 뇌가소성(neuro-plasticity)의 효과일까.","대화형,미정,미래,불확실",대화형,미정,미래,불확실
＂모유 수유로 영아에게 코로나가 전염될 위험은?＂,"대화형,미정,미래,불확실",대화형,미정,미래,불확실
