user_prompt,output,유형,극성,시제,확실성
"납세자는 심의위원회에서 의견을 표명할 수 있고 과세 전 적부심사와 이의신청, 심판청구 등을 통해 이의를 제기할 수 있다.","추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
"물론 인구 감소와 함께 국가의 국내총생산(GDP)은 줄어들겠지만, 개인의 행복과 풍요를 결정짓는 1인당 GDP는 상승할 수 있다.","추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
이렇게 눈이 안 오면 우리는 언젠가 ＇눈의 서사(敍事)＇를 잃어버릴지도 모른다.,"추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
또한 새로운 정보와 책을 통하여 간접적으로 경험하면서 변화가 될 수도 있다.,"추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
"나 역시 반찬이 들어 있지 않은 반찬통들을 쌓아놓는데 상당한 공간을 허비하고 있는데, 냉장고 한 칸이 통째로 비어있다면 충분히 넣어둘 만할 듯했다.","추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
"상품과 자본, 사람, 아이디어의 자유로운 이동이 막히면 한국 경제의 피 돌기도 멈출 수 있다.","추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
후비루에 의한 만성기침은 비염이나 축농증에 듣는 약물요법을 시행하고 약물만으로 조절되지 않는다면 이비인후과적 시술을 받아야 한다.,"추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
반대로 민주당은 ＇탄핵 보검＇을 반쯤 꺼내든 채로 사사건건 백악관의 뒷덜미를 잡을 게 뻔하다.,"추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
"또 3월 중순까지 일일퀘스트를 통해 3.1절 주화를 획득하고 태극 런처, 2020년 태극 등장식, 최상급 제작 COOP 남·녀 태극 제1특전단 아바타 등을 가공할 수 있다.","추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
중국이 국내 수요 부진을 이유로 수입 약속을 지키지 않아도 합의를 깬 것은 아니라고  우길 수 있다.,"추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
PC 버전도 제공해 플랫폼을 오가며 다른 이용자와 자유롭게 게임을 즐길 수 있다.,"추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
가뜩이나 게임에 대한 부정적인 인식으로 골머리를 앓고 있는 업계 입장에서 비용 부담보다 더 치명적으로 작용할 수 있다.,"추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
그러나 국회에서 이 같은 연장안이 원활하게 논의될 수 있을지는 미지수다.,"추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
"3월 11일까지 ＇칼페온, 발렌시아, 오딜리타 황실 무역 삼파전!＇에 참여해 무역 납품 의뢰를 진행하면 금괴를 획득할 수 있다.","추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
"완충 시 최대 12시간까지 재생 가능하며, 파티부스트 기능을 통해 스피커 여러 대를 연결하여 클럽과 같은 파워풀한 사운드를 즐길 수 있다.","추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
박물관에서는 천주교 박해와 관련한 전시와 예술 작품을 만날 수 있다.,"추론형,긍정,미래,불확실",추론형,긍정,미래,불확실
