user_prompt,output,유형,극성,시제,확실성
＂이거 아무 국가나 할 수 있는 거 아닙니다.＂,"대화형,부정,현재,확실",대화형,부정,현재,확실
DB형은 디폴트 옵션과 전혀 상관이 없습니다.,"대화형,부정,현재,확실",대화형,부정,현재,확실
그렇다면 이런 도전이 한국에서는 왜 안 될까?,"대화형,부정,현재,확실",대화형,부정,현재,확실
＂큰 나무 그늘에서 근심 없이 거닐고 그 아래 편안하게 누우면 되지 않는가＂,"대화형,부정,현재,확실",대화형,부정,현재,확실
스윙 리듬이 맞지 않으면 공이 원하는 방향으로 날아가지 않기 때문입니다.,"대화형,부정,현재,확실",대화형,부정,현재,확실
＇무제한＇ 용어가 붙은 조치는 외환위기나 금융위기 때도 전례가 없습니다.,"대화형,부정,현재,확실",대화형,부정,현재,확실
＂선은 속지 않는 거예요.＂,"대화형,부정,현재,확실",대화형,부정,현재,확실
초비상 시대에 발맞춰 기업마다 ＇컨틴전시 플랜＇ 짜기에 여념이 없습니다.,"대화형,부정,현재,확실",대화형,부정,현재,확실
훌륭한 전시가 없었다는 뜻이 아닙니다.,"대화형,부정,현재,확실",대화형,부정,현재,확실
현재 밤에 고열이나 호흡기 증상이 발현했을 때 갈 곳이 별로 없습니다.,"대화형,부정,현재,확실",대화형,부정,현재,확실
＂하지만 진짜 잘해주지는 마.＂,"대화형,부정,현재,확실",대화형,부정,현재,확실
＂무릇 쌀을 내어 흉년을 극복하는 것은 의풍(아름다운 풍속)을 숭상하는 일에 속하니 진납(進納·곡식이나 재물을 국가에 자진해서 바치는 일)하는 것과는 같지 않습니다＂,"대화형,부정,현재,확실",대화형,부정,현재,확실
사실 병원과 의사만 뭐라 할 수도 없습니다.,"대화형,부정,현재,확실",대화형,부정,현재,확실
"한국여자프로골프(KLPGA) 투어에서 호쾌한 스윙을 갖고 있는 선수로는 프로골퍼 이소영(23,롯데)을 빼놓을 수 없습니다.","대화형,부정,현재,확실",대화형,부정,현재,확실
