user_prompt,output,유형,극성,시제,확실성
제 눈에는 실리콘밸리 IT 기업들은 위기가 왔을 때 이를 기회로 바꾸기 위해 준비를 하고 있는 것 같아 보입니다.,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
＂그런데 이번엔 계획할 수 없는 너무 큰 이벤트를 맞이하게 돼서 행복해요.＂,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
＇위기는 곧 기회＇라는 격언은 이제 너무나 보편화되어서 모르는 사람이 없을 정도입니다.,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
＂저는 봉준호의 진화를 20년 동안 봐왔어요.＂,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
우선 더러움의 대명사는 정말이지 오해입니다.,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
＂몽가타는 피로 속에 잠 못 드는 사람을 위한 수면 솔루션을 제공하는 스타트업입니다.＂,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
좋은 스윙을 하기 위한 기본입니다.,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
2020년 2월 3일 오전 8시 기준입니다.,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
비법은 이번에도 오른 팔꿈치입니다.,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
＂연간 대출 자금 28억원 중 아직 24억원이 남았습니다.＂,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
먼저 이 씨의 사례로 살펴보자.,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
＂스님들은 어디 가세요?＂,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
그런데도 대출 자금이 이렇게 많이 남았다니!,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
아직까지는 시장 분위기가 상당히 좋기에 단기 조정을 매수 기회로 삼을 수 있으며 투자 시에는 메이저 알트코인 위주로 접근하시는 것을 권장 드립니다,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
＂소비자들이 깨끗하고 안전한 삶을 즐길 수 있는 제품을 만드는 ＇라이프케어 솔루션 기업＇이 되는 것이 목표입니다.＂,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
선거철에 정당과 정치인들이 움직이는 것처럼 평소에도 유권자의 마음을 얻기 위해 움직이면 얼마나 좋을까.,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
덕분에 쾌적한 환경을 원하는사람들에게 인기가 많죠.,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
그렇다면 소수 정당들이 난립할 우려도 있는데요.,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
＂좀 주워다 줄래.＂,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
이런 제도를 왜 만들었나요.,"대화형,긍정,현재,확실",대화형,긍정,현재,확실
