user_prompt,output,유형,극성,시제,확실성
기상청은 이날 서해 중부 해상에 위치한 고기압의 가장자리에 들어 전국이 대체로 흐리다가 중부지방은 오후부터 가끔 구름이 많겠다고 예보했다.,"예측형,긍정,과거,확실",예측형,긍정,과거,확실
또 리스크관리능력을 바탕으로 이익창출력 및 지급여력을 안정적으로 유지할 것으로 전망했다.,"예측형,긍정,과거,확실",예측형,긍정,과거,확실
"먼바다 파고는 서해 0.5∼2.0ｍ, 남해 0.5∼2.5ｍ, 동해 1.0∼3.0ｍ로 예보됐다.","예측형,긍정,과거,확실",예측형,긍정,과거,확실
시스템 반도체의 경우 2030년에는 필요한 수요가 3400명에 달하지만 실제 공급 인력은 900명에 그칠 것으로 예상했다.,"예측형,긍정,과거,확실",예측형,긍정,과거,확실
"한국 영재의 위기는 몇 년 뒤엔 이공계 대학의 위기로, 다시 몇 년 뒤엔 4차 산업혁명 선도 기업의 위기가 될 것이다.","예측형,긍정,과거,확실",예측형,긍정,과거,확실
낮 최고 기온은 4∼12도로 전날(2.1∼10.3도)보다 조금 높겠다.,"예측형,긍정,과거,확실",예측형,긍정,과거,확실
각 게임별로 캐릭터 NFT나 게임 내 땅 소유 NFT를 판매할 예정이며 게임별로 최적화된 토큰 발행도 예고했다.,"예측형,긍정,과거,확실",예측형,긍정,과거,확실
반면 0.5%포인트 인상은 7%로 예측했다.,"예측형,긍정,과거,확실",예측형,긍정,과거,확실
소비자 물가지수 발표 이후 월가의 바클레이즈와 제프리즈 투자은행은 모두 5월 물가 상승률 발표 이후 연준이 금리를 0.75%포인트 올릴 것으로 전망했다.,"예측형,긍정,과거,확실",예측형,긍정,과거,확실
"뉴욕타임스(NYT)는 ＂이번 주 회의에서 1994년 이후 가장 큰 금리 인상을 논의할 것으로 보인다＂고 전했고, CNBC도 0.75%포인트 인상 움직임의 가능성이 있다고 예측했다.","예측형,긍정,과거,확실",예측형,긍정,과거,확실
