user_prompt,output,유형,극성,시제,확실성
의성의 맹주들은 막강한 부를 활용해 혼맥으로 맺어진 김씨를 적극 후원했을지 모른다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
최근 6개월간 전국 누적 강수량이 평년의 절반 수준에 머물게 되면서 공연을 위해 어마어마한 양의 물을 사용하는 것이 부적절하다는 목소리가 커졌다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
매년 두 배씩 성장해 2012년이 되자 월간 트래픽이 1000만건씩 발생할 정도로 폭풍 성장했다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
요즘 사람들이 커피나 차를 수시로 마시듯이 사간원 관리들은 술을 마셨던 모양이다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
구름 사이에서 누군가 이런 소리를 하는 것 같았다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
＂어떤 사람이 극단적인 상황에 놓이면 극단적인 선택을 할 수도 있겠구나 싶었던 거다.＂,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
최근 6개월간 전국 누적 강수량이 평년의 절반 수준에 머물게 되면서 공연을 위해 어마어마한 양의 물을 사용하는 것이 부적절하다는 목소리가 커졌다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
최근 전국에 내린 비로 급한 가뭄은 해결됐지만 농작물 작황이 나빠진 것도 한몫했다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
코끼리는 공화당을 상징하는 동물이니 공화당 상원의원들이 트럼프 앞에 일렬종대로 줄을 섰다는 조롱인 셈이다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
우리나라 기업들이 경영 활동에 제약이 컸다는 것이 외부 기관의 평가 결과 드러난 셈이다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
처음에는 후대했으나 유구국에 보물이 많다는 이야기를 듣고 돌변해서 세자 일행을 잡아다가 보물을 달라며 갖은 방법으로 협박했다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
아니 사고가 터진 후에도 화난시장에서 첫 발견한 의사를 구속하기보단 바로 공개하고 비상조치를 취했더라면 초기에 끝났을 것이다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
조정에서 이조·형조·병조판서로 일하면서 사대부의 최고 영예인 대제학을 겸임했으며 삼정승에도 올라 최고 요직을 모두 섭렵했다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
주제가 너무 어려워 모두들 자포자기하는 기색이 역력했다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
"이자 비용은 가계가 지출하는 주택 담보 대출이나 신용대출, 전세자금 대출, 학자금 대출 등의 이자가 포함된 금액으로, 최근 금리 인상이 이어지며 부담이 늘어난 것으로 풀이된다.","추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
"세부 항목에서 ＇미래에 연금이 잘 적립되는 정도＇를 평가한 순위가 35위에서 50위로 15계단 급락하고, 국내총생산(GDP) 대비 재정적자 비중과 정부지출 비중이 각각 3계단 하락한 게 결정적인 영향을 준 것으로 풀이된다.","추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
이러한 이유로 불과 몇 년 전만 해도 유방암의 전이가 진행된 경우 좌절감과 두려움을 호소하는 환자들을 쉽게 볼 수 있었다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
"황제 면전에서는 아무 말도 할 수 없었지만, 속은 부글부글 끓었다.","추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
양녕은 비록 우애 깊은 동생이지만 세종의 존재를 의식해 권력에 뜻이 없음을 보여주려 노력했을 것이다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
＂이 큰 사건이 어떻게 보면 개인들 간의 감정의 오해나 균열에서 비롯되지 않았을까 싶었던 거다.＂,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
"숙종이 다양한 학문 발전을 가로막은 ＇사문난적, 교리에 어긋나는 언동으로 성리학의 질서와 학문을 어지럽히는 도적 금법＇을 만든 장본인이라고 본 것이다.","추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
"코스가 선수들에게 공정함을 주기 위해서는 샷의 가치를 제대로 평가할 수 있도록 어려워야 하고, 또 선수들은 두려움을 극복할 수 있어야 진짜 훌륭해진다고 생각했다.","추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
이미 지난해 일본 시장에 출시돼 흥행 돌풍을 일으키며 게임성을 검증 받았다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
소송하러 온 사람이 그인 줄 모르고 ＇공이 지금 어디 계신가＇라고 물으면 공은 ＇다른 곳에 계십니다＇라고 말하고는 몰래 들어와 관복으로 갈아입고 판결하기도 했다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
하지만 늘 그렇듯 노여워하지 않고 손으로 오줌을 닦아낼 뿐이었다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
모바일 결제가 안착하고 현금을 쓰지 않는 ＇현금 없는 사회＇로 나아가고 있는 가운데 디지털 화폐 필요성에 대해 일단 선을 그은 셈이다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
"대형 화물차 수십대가 입구를 에워싼 탓에 공장으로 들어가려는 차와, 공장에서 제품을 싣고 나오는 차 모두 버거워 보였다.","추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
"가령 디아블로3는 1만6000원을 주고 구입하며, 이후에 나온 확장팩 ＇영혼을 거두는 자＇를 1만9000원에 구입해야 신규 직업 ＇성전사＇와 던전 ＇네팔렘의 차원 균열＇을 즐길 수 있었다.","추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
지난해 숨 가쁘게 이어진 KB금융의 글로벌 M&A 건을 지주 차원에서 조율한 공로를 높게 평가받은 것이다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
또 NDC의 대표 부대행사인 ＇NDC 아트 전시회＇를 메타버스 공간으로 재현해 호응을 얻었다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
이를 종합했을 때 연산군의 모습은 살색이 희고 키가 크며 호리호리한 미남형이었을 것으로 추측된다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
세계 영화사의 거대한 변화를 머릿속으로 받아들이는 데 시간이 걸렸는지도 모르겠다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
심지어 시의 수준이 너무 높아 진위까지 의심한다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
아버지에 이어 궁예 밑에서 벼슬을 한 왕건이 처음부터 왕 씨 성을 썼다면 목숨을 부지하기 힘들었을 것이기 때문이다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
"어진이나 각종 기록을 살펴봤을 때 조선의 임금들은 대체로 수염이 풍성하지 않았는데, 연산군 또한 그런 특징을 갖고 있었던 것으로 보인다.","추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
서긍의 이런 평가로 미루어 보아 이자겸에게서 군자다운 면모가 전혀 없었던 것은 아님을 유추해볼 수 있다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
날로 치솟는 물가로 가계 부담이 커지는 와중에 올여름엔 주요 채소류 가격이 20~60%가량 대폭 상승할 것이란 우울한 전망이 나왔다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
스키너는 필자가 조류에 대한 공포심을 갖게 된 조건을 찾아내려고 했을 것이다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
＂안 그랬더라면 로마는 아주 짧은 시간 내에 허약해지고 무가치한 국가가 되었을 것이다.＂,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
＂왕정 말기 왕들의 심각한 부패를 감안할 때 그런 왕들이 계속되었더라면 왕들의 부패가 모든 국가 구성원들 사이로 퍼졌을 것이다.＂,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
일본 애니메이션풍 캐릭터 및 화면 연출에 서브컬처 장르 마니아들이 선호할 게임 요소들을 대거 탑재했다.,"추론형,긍정,과거,불확실",추론형,긍정,과거,불확실
