user_prompt,output,유형,극성,시제,확실성
하지만 글로벌 경기 불확실성으로 반도체 부활 시점이 안갯속인 데다 2단계로 접어든 미·중 무역분쟁 결과도 예단할 수 없어 위기감은 여전하다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
정보 미디어의 영향이 갈수록 커지는 사회 속에서 자칫하면 정보가 뇌의 주인자리를 차지하기 쉽다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
자라나는 미래세대에 보다 유익한 정보를 전달해 주고 싶다면 편향적인 정보로 왜곡된 정보의 전달보다는 다양한 정보를 보편적인 관점에서 넓은 시야로 바라볼 수 있는 자세를 갖추어 주는 것이 무엇보다 필요하다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
본인 소득과 주택 매입 가격이 정책 대출 요건에 해당하는지도 함께 살펴야 한다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
그 과정에서 정상 부분에서는 쥐어 짠 듯한 모습의 바위들이 서로 엉겨 붙어 있는 모습을 하게 된 것일까?,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
이번에 발표된 점도표에서 잘 나타난다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
다만 실손보험 가입별로 자기부담금을 제외한 금액을 보장받을 수 있다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
이들은 화려한 프로필이 없을 뿐 치열하게 한국 정치를 고민하는 사람들이다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
통풍은 남성 환자가 92% 이상을 차지하는 대표적인 남성 질환임을 알 수 있다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
반면 실제 중산층 일자리가 집중된 제조업과 도·소매업 등의 침체에 대한 대책은 실효가 없어 국민들은 정부의 ＇중산층 정책＇ 자체가 실종된 것으로 보고 있다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
그 결과가 최근 코로나19 사태 속에서 중국인 유학생 입국을 둘러싼 갈등이다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"호주, 인도, 카타르를 상대로 좋은 결과를 낸다고 해도 문제는 이란이다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
"통계적 지식이 필요한 제법 난해한 책이지만, 이들의 제안은 매우 실용적이다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
이들 연구가 가리키는 답은 간명하다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"비타민이라 부작용이 없을 거라는 생각이 들겠지만, 합성비타민 A의 경우 천연비타민 A와는 전혀 다르다는 것을 알 수 있다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
개인투자자는 주식 양도세 대상을 종목당 100억원으로 대폭 올리는 것을 환영하는 분위기다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
아보카도에는 칼륨이 풍부하므로 신장 기능이 약하다면 섭취를 금하는 것이 좋다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
지난해 설비 투자액이 180조4000억원이었다는 점을 감안하면 21조5000억원의 투자 증가 효과가 나올 것으로 분석된다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
나를 달래며 엄마는 늙었지이제 싹이 튼다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
불안감은 목 좋은 아파트와 명문대 졸업장 시세에 따라 널뛰기를 한다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"하지만 고통스런 시간 속에 간간히 피어나는 웃음꽃, 힘든 자가 더 힘든 자를 돕는 희생 등이 삶의 의미를 되돌아보게 한다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
＇군주론＇만 알고 있는 사람은 마키아벨리를 피도 눈물도 없는 권력유지법을 고안한 냉혈한으로 이해한다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
불과 2번의 실패로 개발에 참여한 모든 이들을 비난하는 것은 가혹한 일이다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
안전운전은 기본이고 승용차 좌석 중 안전한 ＂명당 좌석＂을 어떻게 배정하느냐도 중요하다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
이때 필요한 플랫폼이 바로 브레이커다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
지금의 부족함이 성장을 마친 후에 큰 잔상으로 남게 될까 두려움이 찾아와서다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"헹굴 때는 충분히, 샤워기라면 3분 이상, 세면대라면 7회 이상 헹궈야 한다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
상대적으로 낮은 한국 기업의 배당성향이 높아질 수 있도록 배당과 자사주 매입 등 주주 환원책 장려 방안도 필요하다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
어여쁘게 피었다 어느 날 사라져도 서운할 게 없는 이유는 내년이면 어김없이 다시 필 것이라는 믿음이 있기 때문이다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
기업은행장에 오르면서는 노조 반발이란 새로운 위기에 직면해 있다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
한국 금융산업 시계만 거꾸로 돌아가는 현실이 안타까울 뿐이다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
다른 플랫폼 시장과 마찬가지로 이용자가 많아질수록 배달 앱 서비스도 진화할 것이라는 점을 감안해야 한다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"삶과 죽음의 경계에 선 인간의 나약함, 그리고 그 순간에 느꼈을 절대고독은 상황 묘사만으로도 읽는 이들의 마음을 흔든다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
드라마에 간간이 섞은 실제 화면은 이야기에 관객이 몰입하도록 돕는다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"이제 틱톡, 릴스 등의 숏폼 콘텐츠는 주 사용층인 1020세대뿐만 아니라, 3050세대들에게도 어색하지 않게 느껴진다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
또한 골프에 전문화되지 않은 모션 센서의 한계로 라이각과 스윙 폼 등 정밀한 데이터는 반영되지 않아 실제 라운드 감성을 느끼기에는 부족한 편이다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
몸속 콜라겐 생성을 돕고 일정하게 유지하려면 단백질과 비타민C를 꾸준히 섭취하면 좋다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
꽃은 약속이다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"사람의 품성을 알아보는 신비의 동물 기린이 첫 등장하고 나선형 지하 감옥을 지키는 ＇만티코어＇, 열기구처럼 몸을 부풀려 하늘을 나는 조류 ＇와이번＇도 시선을 사로잡는다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
＂지식인이 내부로 침잠하여 그들만의 심오함을 물신화할 때 사라지는 건 비단 대중뿐만이 아니다.＂,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
민주주의 사회에서 집회·시위의 자유도 중요하지만 일반 시민이 마땅히 누려야 할 행복추구권을 보장하기 위해서다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
BNPL 서비스를 이용하면 소비자 지출 규모가 커진다는 것도 기업이 관심을 보이는 이유다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"양방치료로는 고주파 온열암치료, 싸이모신 알파, 이뮨셀 면역세포 배양요법, 고농도 비타민C 등을 사용해 항암·방사선 치료로 인한 기력 저하, 체중 감소, 오심, 구토 증상 등을 완화하는 데 도움을 준다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
"너무 많은 주장들 속을 헤엄치느라 침묵을 잃었고, 너무 많은 음식을 생산하느라 나무를 잃었다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
"20일 출시되는 일본산 게임 ＇우마무스메 프리티더비＇와 23일 한국산 ＇미르M: 뱅가드앤배가본드＇, 24일 중국산 ＇천애명월도M＇이 주인공이다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
물론 이 싸움은 올림픽 대표 경쟁과도 궤를 같이한다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
모든 정부 정책의 근간이 되는 통계마저 국민 체감과 동떨어져 있는데 어떻게 효과적인 중산층 정책이 가능하냐는 비판이 나오는 이유다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"남이섬을 ＇겨울연가＇로 기억하는 사람들도 적지 않지만, 그보다는 ＇책의 섬＇이라고 하는 게 더 정확하다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
미래 먹거리 사업으로 ＇이동형 로봇＇ 분야를 점찍은 KT의 사례가 눈에 띈다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
검찰이 주어진 권한을 함부로 휘두르는 것을 방지해야 한다는 데 이론의 여지가 없기 때문이다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"그런데, 이 뮤지컬, 한마디로 물건이다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
"올 여름, 배롱나무 백일홍과 인연을 맺을 수 있다면 그것은 종교를 떠나 부처와의 만남을 뜻하는 것이니, 생성과 소멸이라는 우주의 원리를 담고 있는 백일홍의 깊은 아름다움을 꼭 한번 만나 볼 것을 기원해 본다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
집값이 자꾸 오르니 상속세나 보유세를 아끼려는 의도다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
＂나는 그저 산에 오르는 것이 아니라 내 마음속에 있는 산을 오르는 것이다.＂,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
이제 확진자 1000명을 넘는 건 시간문제다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
그렇지만 훗날 크게 이름을 떨친 이는 한음 이덕형(20세 때 합격) 등 극히 소수에 불과하다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
잡음은 확실히 주관적 판단이 중요한 정신의학에서 특히 높게 나타난다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
＇우리학교 쇼핑몰＇이 청소년들의 창업과 도전정신을 키우는 긍정적인 성과를 낳을지 기대를 모은다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
다만 아쉬운 것은 로그라이크 장르 특성상 지속적인 반복이 필요한데 초반부가 다소 단조롭게 느껴진다는 점이다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"때문에 조만간 주택담보대출을 받을 계획인데 마이너스통장 전체 한도의 50% 미만으로 사용하고 있다면, 한도를 낮추거나 마이너스통장 자체를 없애 DSR 한도를 미리 여유 있게 확보해놓는 것이 좋다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
국민마다 견해와 이해가 다를 수 있다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"서울 동작구 흑석9구역, 용산구 갈현1구역 등 수도권 내 이주를 앞둔 재건축·재개발 사업장이 많기 때문이다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
기계적 활동을 최대한 자제하고 자연의 리듬을 따른다는 점이 가장 큰 특징이다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
소득 격차가 줄어든 것이 저소득층이 일해 번 소득이 늘어서가 아니라 고소득층 소득 증가율이 큰 폭으로 감소한 데 따른 결과이기 때문이다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
활동 중단 이후에도 여전히 한 자리에서 레인보우를 응원하는 팬들을 위해서다.,"추론형,긍정,현재,확실",추론형,긍정,현재,확실
"그리고 증상이 나타날 즈음이면 내당능 장애(당뇨병 전 단계), 고혈압, 고지혈증, 비만, 심혈관계 죽상동맥 경화증 등의 증상이 한꺼번에 나타나기 때문이다.","추론형,긍정,현재,확실",추론형,긍정,현재,확실
