user_prompt,output,유형,극성,시제,확실성
"첫째, 불필요한 마이너스통장부터 정리하자.","대화형,긍정,미래,확실",대화형,긍정,미래,확실
네덜란드에 위치한 한 기업을 직접 찾아가서 만나기 위함인데요. ,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
＂1인치 정도 되는 장벽을 뛰어넘으면 여러분은 훨씬 더 많은 영화를 즐길 수 있습니다.＂,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
평생에 이보다 좋은 일이 더 있겠는가.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
이 패턴은 추가 공정을 거쳐 반도체의 도로인 집적회로가 됩니다.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
사람 친구는 어느 한쪽에 애인이 생기면 끊어주는 게 쌈빡한 예의 아닐까.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
＂부당한 지시라고 생각되더라도 저항이라는 걸 해보세요.＂,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
하지만 진짜 위기가 왔을 때 이를 기회로 바꾸기 위해 실천할 수 있으려면 준비가 되어 있어야 할 겁니다.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
반도체 기업들이 구매를 아무리 원한다고 해도 ASML이 생산량을 신속하게 확장하는 건 불가능합니다.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
"＂얼른 코로나 사태가 끝나서, 마스크는 이제 안 팔아도 되는 세상이 왔으면 좋겠어요.＂","대화형,긍정,미래,확실",대화형,긍정,미래,확실
사람만이 아니라 동물들의 이동도 자유로워지죠.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
＂그래서 콘텐츠에 힘이 생기고 팬덤이 만들어지는 겁니다.＂,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
＂크게 생각하고 도전적인 자세로 임하라.＂,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
인텔은 2025년까지 이 장비를 통한 제품 생산에 나설 방침입니다.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
한번 꼭 따라 해보세요.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
눈 속을 헤치고 산을 오른 뒤 얼음을 뚫어야 비로소 바이러스를 만날 수 있죠.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
그 대신 지방 국립대에는 더 많은 지원에 나서자.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
지금이라도 정부는 사립대에서 손을 떼고 자율에 맡기자.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
＂지역구의 이익보다는 국익을 생각하겠다.＂,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
WMO의 추정에 의하면 남극의 빙하가 전부 녹아 없어질 경우 전 세계 해수면은 약 60m 상승한다고 합니다.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
＂본업인 연기를 잘하면 해결될 일이니까(웃음).＂,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
＂그렇게 하나씩 썩어 들어가는 겁니다.＂,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
온난화로 인해 오랜 시간 빙하·동토 속에서 잠들었던 고대 미생물과 바이러스들이 부활할 수 있기 때문입니다.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
ASML이 독점 생산하는 이 장비가 없으면 반도체 기업들은 미세 공정을 시작할 수조차 없습니다.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
"＂건강할 때, 증상을 느끼지 못하는 질병을 조기에 발견하기 위해 건강검진을 꼭 받아야 합니다.＂","대화형,긍정,미래,확실",대화형,긍정,미래,확실
국립대 학생에게 이전보다 더 많은 장학금을 지급하고 지방 혁신도시 내 위치한 공기업에 지방 국립대 졸업생 의무 채용 규모를 늘려주자.,"대화형,긍정,미래,확실",대화형,긍정,미래,확실
