user_prompt,유형,극성,시제,확실성
우리 공군 특수비행팀 블랙이글스는 이번에 축하비행을 한 영국 공군 레드 애로우즈와 깊은 인연을 가지고 있다.,사실형,긍정,현재,확실
모든 백내장 수술을 입원 치료로 인정해서는 안 된다는 대법원의 판결이다.,사실형,긍정,현재,확실
이는 전년 대비 3.4%(706억원) 증가한 수치로 통합은행 출범 이후 최대 실적이다.,사실형,긍정,현재,확실
남이섬은 그런 춘천의 다른 이름이다.,사실형,긍정,현재,확실
하지만 글로벌 경기 불확실성으로 반도체 부활 시점이 안갯속인 데다 2단계로 접어든 미·중 무역분쟁 결과도 예단할 수 없어 위기감은 여전하다.,추론형,긍정,현재,확실
참가자들은 두 그룹으로 나뉘어 오전 10시부터 오후 6시까지 좌식 생활을 했다.,사실형,긍정,현재,확실
"여가/취미/종교활동 영역은 다양한 문화생활 즐기기, 다양한 여가 활동 개발 및 즐기기, 적합한 스포츠 개발, 종교활동 참여이고 주요 내용은 직장인으로서 적절한 문화생활이다.",사실형,긍정,현재,확실
삼성SDI가 코스피 약세장에서도 상승세다.,사실형,긍정,현재,확실
바로 둔촌주공아파트다.,사실형,긍정,현재,확실
정보 미디어의 영향이 갈수록 커지는 사회 속에서 자칫하면 정보가 뇌의 주인자리를 차지하기 쉽다.,추론형,긍정,현재,확실
"또 부킹닷컴, 호텔스닷컴, 익스피디아, 아고다, 트립닷컴 내 BC카드 전용 페이지를 통해 전세계 호텔을 예약하는 고객에게 최대 10% 할인혜택을 제공한다.",사실형,긍정,현재,확실
유입인구가 가장 적은 도봉구에 비해서는 5배나 많다.,사실형,긍정,현재,확실
자라나는 미래세대에 보다 유익한 정보를 전달해 주고 싶다면 편향적인 정보로 왜곡된 정보의 전달보다는 다양한 정보를 보편적인 관점에서 넓은 시야로 바라볼 수 있는 자세를 갖추어 주는 것이 무엇보다 필요하다.,추론형,긍정,현재,확실
"하지만 역사를 공부한 사람은 그 어떤 정부, 경제 체제, 통화, 제국도 영원히 존재하지 않는다는 것을 알고 있다.",사실형,긍정,현재,확실
"레이더는 전자기파로 주변 영역을 감시하고, 표적을 탐지 및 추적해 표적까지의 거리, 각도, 고도, 속도 등의 정보를 획득하는 전천후 센서이다.",사실형,긍정,현재,확실
"지방자치단체는 불법주차, 주차표지 양도·대여 등 부정 사용, 주차표지 위·변조, 주차방해 행위 등을 단속하고 있으며, 적발 건수는 2014년 8만8042건에서 2015년 15만2856건, 2016년 26만3326건, 2017년 33만359건, 2018년 42만292건 등으로 매년 증가하고 있다.",사실형,긍정,현재,확실
