user_prompt,output,유형,극성,시제,확실성
A씨는 여동생의 재산 내역을 C씨에게 인계도 제대로 하지 않았다.,"사실형,부정,과거,확실",사실형,부정,과거,확실
건강하다면 2~3선발도 가능한 마르티네스는 2018년부터 잦은 부상으로 많은 이닝을 소화하지 못했다.,"사실형,부정,과거,확실",사실형,부정,과거,확실
재판부는 A씨와 B씨 관계를 밝히지는 않았다.,"사실형,부정,과거,확실",사실형,부정,과거,확실
"먼저, 시판 중인 이산화염소를 이용해 신종 코로나바이러스 감염증(코로나19)을 차단한다는 이른바 ＇코로나19 예방용 목걸이＇의 효과는 전혀 입증되지 않았다.","사실형,부정,과거,확실",사실형,부정,과거,확실
심지어 30대 정부 수반도 적지 않았다.,"사실형,부정,과거,확실",사실형,부정,과거,확실
그래서 음식물도 청결하지 않았다.,"사실형,부정,과거,확실",사실형,부정,과거,확실
2012년 런던과 2016년 리우데자네이루 대회에는 최종 예선을 통과하지 못했다.,"사실형,부정,과거,확실",사실형,부정,과거,확실
이로써 이미 취소가 결정된 블루베이 LPGA와 함께 2월 아시아에서 열릴 예정이었던 3개 대회가 모두 사라졌다.,"사실형,부정,과거,확실",사실형,부정,과거,확실
"피닉스는 이전에도 영화 ＇글래디에이터＇(2000), ＇앙코르＇(2005), ＇마스터＇(2012)로 세 번 후보에 올랐으나 모두 수상에는 실패했다.","사실형,부정,과거,확실",사실형,부정,과거,확실
"윤민수는 지난 5일 자신의 인스타그램에 ＂각종 기관에 조사를 요청하고 자료를 제공하고 협조하면서 밝혀지고 바로 잡히길 그 누구 보다 기다렸지만 믿었던 방송에선 억울함을 풀기보단 어그로(이목을 집중시키고 분쟁을 일으키는 행위)만 더 끌고 음악을 사랑하시는 모든 대중, 가요계에 혼란만 줬다＂며 ＂그 누구보다 음악을 사랑하고 해왔던 22년, 바이브 이름이 부끄러울 일은 하지도 않았고 앞으로도 하지 않는다＂고 주장했다.","사실형,부정,과거,확실",사실형,부정,과거,확실
