user_prompt,output,유형,극성,시제,확실성
"이를 통해 대중들은 현재 관심을 모으고 있는 이슈나 키워드를 확인할 수 있어, 트윗은 일종의 화제성의 척도가 되기도 한다.","사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
한국의 경우 PC방 프리미엄 혜택도 제공할 계획이다.,"사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
각기 다른 국가에서 개발된 모바일게임 기대작이 국내 시장을 강타한다.,"사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
회사가 퇴직금을 전적으로 운용하기 때문에 자기가 어떤 퇴직연금에 가입돼 있는지 잘 모르는 경우 대부분 DB형일 확률이 높다.,"사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
이 또한 아시아 출신 선수로서는 처음이라고 전해진다.,"사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
"꼭 필요한 신발만 갖고 있다보니 신발장에 공간이 남고, 밖에서 입은 옷을 바로 현관에서 벗고 들어오면 오히려 위생적이라는 이유에서다.","사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
원유 수요가 증가하는 데 비해 공급 부족 현상은 계속될 가능성이 높아서다.,"사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
초강력 계면활성제가 들어간 비누를 오래 사용할 경우 우리 몸의 세포 사이클을 교란해 돌연변이를 유도하기도 한다.,"사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
스피커가 놓인 공간의 환경을 스스로 분석해 음의 왜곡을 최소화하고 최상의 사운드를 전달한다.,"사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
"투자, 배급사인 CJ ENM과 조율해 영화의 완성도를 끌어올린 주인공이기도 하다.","사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
그럼에도 ＇기생충＇이 작품상을 가져간 건 역시 ＇기세＇로 설명할 수 있을 것이다.,"사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
"눈잣나무는 동북아시아 전역에서 사는 나무인데, 우리나라에서는 오직 설악산에만 서식한다고 한다.","사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
중세시대를 배경으로 게임 내 악마 ＇디아블로＇를 처치하기 위해 여정을 떠나는 게 게임의 주된 내용이다.,"사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
이를 위해 양·한방 통합 암치료에 대한 연구 활동을 이어오고 있다.,"사실형,긍정,현재,불확실",사실형,긍정,현재,불확실
